 frequency       AmagdB          Aphdeg         
 1.00000000e+05 -3.56892648e-02 -2.77031337e-02 
 1.01152151e+05 -3.56842305e-02 -2.80223354e-02 
 1.02317577e+05 -3.56790796e-02 -2.83452156e-02 
 1.03496431e+05 -3.56738092e-02 -2.86718165e-02 
 1.04688866e+05 -3.56684167e-02 -2.90021811e-02 
 1.05895041e+05 -3.56628993e-02 -2.93363527e-02 
 1.07115112e+05 -3.56572539e-02 -2.96743753e-02 
 1.08349240e+05 -3.56514778e-02 -3.00162933e-02 
 1.09597588e+05 -3.56455677e-02 -3.03621515e-02 
 1.10860318e+05 -3.56395207e-02 -3.07119954e-02 
 1.12137597e+05 -3.56333335e-02 -3.10658709e-02 
 1.13429592e+05 -3.56270030e-02 -3.14238246e-02 
 1.14736472e+05 -3.56205257e-02 -3.17859034e-02 
 1.16058410e+05 -3.56138983e-02 -3.21521549e-02 
 1.17395579e+05 -3.56071172e-02 -3.25226272e-02 
 1.18748154e+05 -3.56001791e-02 -3.28973690e-02 
 1.20116312e+05 -3.55930801e-02 -3.32764295e-02 
 1.21500234e+05 -3.55858166e-02 -3.36598585e-02 
 1.22900101e+05 -3.55783848e-02 -3.40477063e-02 
 1.24316096e+05 -3.55707807e-02 -3.44400240e-02 
 1.25748406e+05 -3.55630003e-02 -3.48368631e-02 
 1.27197218e+05 -3.55550397e-02 -3.52382757e-02 
 1.28662722e+05 -3.55468945e-02 -3.56443146e-02 
 1.30145112e+05 -3.55385606e-02 -3.60550330e-02 
 1.31644581e+05 -3.55300335e-02 -3.64704850e-02 
 1.33161325e+05 -3.55213088e-02 -3.68907252e-02 
 1.34695546e+05 -3.55123819e-02 -3.73158087e-02 
 1.36247442e+05 -3.55032481e-02 -3.77457915e-02 
 1.37817219e+05 -3.54939025e-02 -3.81807300e-02 
 1.39405082e+05 -3.54843404e-02 -3.86206814e-02 
 1.41011240e+05 -3.54745567e-02 -3.90657035e-02 
 1.42635903e+05 -3.54645462e-02 -3.95158548e-02 
 1.44279285e+05 -3.54543037e-02 -3.99711944e-02 
 1.45941600e+05 -3.54438238e-02 -4.04317823e-02 
 1.47623069e+05 -3.54331010e-02 -4.08976789e-02 
 1.49323910e+05 -3.54221297e-02 -4.13689455e-02 
 1.51044348e+05 -3.54109041e-02 -4.18456440e-02 
 1.52784607e+05 -3.53994183e-02 -4.23278370e-02 
 1.54544917e+05 -3.53876663e-02 -4.28155881e-02 
 1.56325509e+05 -3.53756420e-02 -4.33089612e-02 
 1.58126615e+05 -3.53633389e-02 -4.38080213e-02 
 1.59948473e+05 -3.53507507e-02 -4.43128339e-02 
 1.61791322e+05 -3.53378708e-02 -4.48234655e-02 
 1.63655403e+05 -3.53246923e-02 -4.53399831e-02 
 1.65540961e+05 -3.53112084e-02 -4.58624547e-02 
 1.67448244e+05 -3.52974119e-02 -4.63909491e-02 
 1.69377501e+05 -3.52832957e-02 -4.69255355e-02 
 1.71328986e+05 -3.52688523e-02 -4.74662845e-02 
 1.73302956e+05 -3.52540742e-02 -4.80132671e-02 
 1.75299668e+05 -3.52389535e-02 -4.85665551e-02 
 1.77319386e+05 -3.52234824e-02 -4.91262215e-02 
 1.79362374e+05 -3.52076527e-02 -4.96923398e-02 
 1.81428900e+05 -3.51914561e-02 -5.02649845e-02 
 1.83519236e+05 -3.51748841e-02 -5.08442309e-02 
 1.85633655e+05 -3.51579279e-02 -5.14301552e-02 
 1.87772436e+05 -3.51405788e-02 -5.20228345e-02 
 1.89935859e+05 -3.51228276e-02 -5.26223468e-02 
 1.92124208e+05 -3.51046649e-02 -5.32287709e-02 
 1.94337770e+05 -3.50860813e-02 -5.38421867e-02 
 1.96576835e+05 -3.50670669e-02 -5.44626748e-02 
 1.98841698e+05 -3.50476118e-02 -5.50903170e-02 
 2.01132655e+05 -3.50277058e-02 -5.57251957e-02 
 2.03450008e+05 -3.50073384e-02 -5.63673947e-02 
 2.05794060e+05 -3.49864990e-02 -5.70169983e-02 
 2.08165120e+05 -3.49651765e-02 -5.76740922e-02 
 2.10563497e+05 -3.49433597e-02 -5.83387628e-02 
 2.12989507e+05 -3.49210373e-02 -5.90110976e-02 
 2.15443469e+05 -3.48981975e-02 -5.96911852e-02 
 2.17925704e+05 -3.48748284e-02 -6.03791151e-02 
 2.20436538e+05 -3.48509175e-02 -6.10749779e-02 
 2.22976301e+05 -3.48264524e-02 -6.17788651e-02 
 2.25545326e+05 -3.48014203e-02 -6.24908696e-02 
 2.28143949e+05 -3.47758080e-02 -6.32110852e-02 
 2.30772513e+05 -3.47496020e-02 -6.39396065e-02 
 2.33431362e+05 -3.47227885e-02 -6.46765298e-02 
 2.36120845e+05 -3.46953536e-02 -6.54219520e-02 
 2.38841315e+05 -3.46672827e-02 -6.61759713e-02 
 2.41593128e+05 -3.46385612e-02 -6.69386872e-02 
 2.44376647e+05 -3.46091740e-02 -6.77102001e-02 
 2.47192236e+05 -3.45791055e-02 -6.84906117e-02 
 2.50040265e+05 -3.45483401e-02 -6.92800248e-02 
 2.52921107e+05 -3.45168616e-02 -7.00785437e-02 
 2.55835142e+05 -3.44846534e-02 -7.08862734e-02 
 2.58782750e+05 -3.44516987e-02 -7.17033206e-02 
 2.61764319e+05 -3.44179801e-02 -7.25297929e-02 
 2.64780240e+05 -3.43834798e-02 -7.33657994e-02 
 2.67830910e+05 -3.43481799e-02 -7.42114502e-02 
 2.70916727e+05 -3.43120618e-02 -7.50668571e-02 
 2.74038098e+05 -3.42751064e-02 -7.59321328e-02 
 2.77195432e+05 -3.42372943e-02 -7.68073915e-02 
 2.80389144e+05 -3.41986058e-02 -7.76927486e-02 
 2.83619651e+05 -3.41590205e-02 -7.85883211e-02 
 2.86887379e+05 -3.41185175e-02 -7.94942272e-02 
 2.90192756e+05 -3.40770757e-02 -8.04105864e-02 
 2.93536216e+05 -3.40346733e-02 -8.13375196e-02 
 2.96918198e+05 -3.39912879e-02 -8.22751495e-02 
 3.00339145e+05 -3.39468968e-02 -8.32235996e-02 
 3.03799507e+05 -3.39014767e-02 -8.41829954e-02 
 3.07299737e+05 -3.38550036e-02 -8.51534635e-02 
 3.10840296e+05 -3.38074533e-02 -8.61351323e-02 
 3.14421647e+05 -3.37588007e-02 -8.71281313e-02 
 3.18044260e+05 -3.37090203e-02 -8.81325919e-02 
 3.21708612e+05 -3.36580858e-02 -8.91486469e-02 
 3.25415182e+05 -3.36059707e-02 -9.01764305e-02 
 3.29164458e+05 -3.35526473e-02 -9.12160786e-02 
 3.32956931e+05 -3.34980879e-02 -9.22677289e-02 
 3.36793099e+05 -3.34422636e-02 -9.33315203e-02 
 3.40673466e+05 -3.33851452e-02 -9.44075937e-02 
 3.44598540e+05 -3.33267027e-02 -9.54960914e-02 
 3.48568837e+05 -3.32669052e-02 -9.65971575e-02 
 3.52584878e+05 -3.32057216e-02 -9.77109378e-02 
 3.56647189e+05 -3.31431195e-02 -9.88375797e-02 
 3.60756305e+05 -3.30790660e-02 -9.99772324e-02 
 3.64912764e+05 -3.30135277e-02 -1.01130047e-01 
 3.69117112e+05 -3.29464699e-02 -1.02296176e-01 
 3.73369900e+05 -3.28778574e-02 -1.03475774e-01 
 3.77671687e+05 -3.28076543e-02 -1.04668998e-01 
 3.82023036e+05 -3.27358235e-02 -1.05876005e-01 
 3.86424520e+05 -3.26623275e-02 -1.07096956e-01 
 3.90876716e+05 -3.25871274e-02 -1.08332012e-01 
 3.95380208e+05 -3.25101839e-02 -1.09581339e-01 
 3.99935587e+05 -3.24314564e-02 -1.10845100e-01 
 4.04543450e+05 -3.23509037e-02 -1.12123464e-01 
 4.09204403e+05 -3.22684833e-02 -1.13416602e-01 
 4.13919058e+05 -3.21841520e-02 -1.14724683e-01 
 4.18688032e+05 -3.20978653e-02 -1.16047884e-01 
 4.23511952e+05 -3.20095781e-02 -1.17386378e-01 
 4.28391452e+05 -3.19192438e-02 -1.18740344e-01 
 4.33327170e+05 -3.18268149e-02 -1.20109963e-01 
 4.38319755e+05 -3.17322430e-02 -1.21495416e-01 
 4.43369862e+05 -3.16354782e-02 -1.22896887e-01 
 4.48478155e+05 -3.15364697e-02 -1.24314564e-01 
 4.53645302e+05 -3.14351654e-02 -1.25748635e-01 
