 v-sweep         Vin             Vout           
 0.00000000e+00  0.00000000e+00  1.77491225e-09 
 1.80000000e-03  1.80000000e-03  1.86562764e-09 
 3.60000000e-03  3.60000000e-03  1.96350374e-09 
 5.40000000e-03  5.40000000e-03  2.06654868e-09 
 7.20000000e-03  7.20000000e-03  2.17503667e-09 
 9.00000000e-03  9.00000000e-03  2.28925685e-09 
 1.08000000e-02  1.08000000e-02  2.40951368e-09 
 1.26000000e-02  1.26000000e-02  2.53612896e-09 
 1.44000000e-02  1.44000000e-02  2.66943963e-09 
 1.62000000e-02  1.62000000e-02  2.80980230e-09 
 1.80000000e-02  1.80000000e-02  2.95759286e-09 
 1.98000000e-02  1.98000000e-02  3.11320602e-09 
 2.16000000e-02  2.16000000e-02  3.27705795e-09 
 2.34000000e-02  2.34000000e-02  3.44958816e-09 
 2.52000000e-02  2.52000000e-02  3.63125824e-09 
 2.70000000e-02  2.70000000e-02  3.82255592e-09 
 2.88000000e-02  2.88000000e-02  4.02399345e-09 
 3.06000000e-02  3.06000000e-02  4.23611202e-09 
 3.24000000e-02  3.24000000e-02  4.45948054e-09 
 3.42000000e-02  3.42000000e-02  4.69470034e-09 
 3.60000000e-02  3.60000000e-02  4.94240205e-09 
 3.78000000e-02  3.78000000e-02  5.20325337e-09 
 3.96000000e-02  3.96000000e-02  5.47795516e-09 
 4.14000000e-02  4.14000000e-02  5.76724758e-09 
 4.32000000e-02  4.32000000e-02  6.07190956e-09 
 4.50000000e-02  4.50000000e-02  6.39276240e-09 
 4.68000000e-02  4.68000000e-02  6.73067184e-09 
 4.86000000e-02  4.86000000e-02  7.08654801e-09 
 5.04000000e-02  5.04000000e-02  7.46135381e-09 
 5.22000000e-02  5.22000000e-02  7.85610028e-09 
 5.40000000e-02  5.40000000e-02  8.27185404e-09 
 5.58000000e-02  5.58000000e-02  8.70973958e-09 
 5.76000000e-02  5.76000000e-02  9.17094115e-09 
 5.94000000e-02  5.94000000e-02  9.65670750e-09 
 6.12000000e-02  6.12000000e-02  1.01683541e-08 
 6.30000000e-02  6.30000000e-02  1.07072666e-08 
 6.48000000e-02  6.48000000e-02  1.12749065e-08 
 6.66000000e-02  6.66000000e-02  1.18728137e-08 
 6.84000000e-02  6.84000000e-02  1.25026092e-08 
 7.02000000e-02  7.02000000e-02  1.31660050e-08 
 7.20000000e-02  7.20000000e-02  1.38648011e-08 
 7.38000000e-02  7.38000000e-02  1.46008987e-08 
 7.56000000e-02  7.56000000e-02  1.53762979e-08 
 7.74000000e-02  7.74000000e-02  1.61931088e-08 
 7.92000000e-02  7.92000000e-02  1.70535549e-08 
 8.10000000e-02  8.10000000e-02  1.79599790e-08 
 8.28000000e-02  8.28000000e-02  1.89148514e-08 
 8.46000000e-02  8.46000000e-02  1.99207751e-08 
 8.64000000e-02  8.64000000e-02  2.09804932e-08 
 8.82000000e-02  8.82000000e-02  2.20968979e-08 
 9.00000000e-02  9.00000000e-02  2.32730371e-08 
 9.18000000e-02  9.18000000e-02  2.45121237e-08 
 9.36000000e-02  9.36000000e-02  2.58175442e-08 
 9.54000000e-02  9.54000000e-02  2.71928669e-08 
 9.72000000e-02  9.72000000e-02  2.86418555e-08 
 9.90000000e-02  9.90000000e-02  3.01684747e-08 
