 frequency       AmagdB          Aphdeg         
 1.00000000e+02  9.65369036e+01  1.78002781e+02 
 1.01152151e+02  9.65367815e+01  1.77979789e+02 
 1.02317577e+02  9.65366566e+01  1.77956533e+02 
 1.03496431e+02  9.65365288e+01  1.77933009e+02 
 1.04688866e+02  9.65363981e+01  1.77909216e+02 
 1.05895041e+02  9.65362643e+01  1.77885148e+02 
 1.07115112e+02  9.65361275e+01  1.77860804e+02 
 1.08349240e+02  9.65359875e+01  1.77836181e+02 
 1.09597588e+02  9.65358442e+01  1.77811274e+02 
 1.10860318e+02  9.65356976e+01  1.77786082e+02 
 1.12137597e+02  9.65355476e+01  1.77760600e+02 
 1.13429592e+02  9.65353942e+01  1.77734825e+02 
 1.14736472e+02  9.65352372e+01  1.77708755e+02 
 1.16058410e+02  9.65350766e+01  1.77682385e+02 
 1.17395579e+02  9.65349122e+01  1.77655712e+02 
 1.18748154e+02  9.65347441e+01  1.77628733e+02 
 1.20116312e+02  9.65345721e+01  1.77601444e+02 
 1.21500234e+02  9.65343960e+01  1.77573841e+02 
 1.22900101e+02  9.65342160e+01  1.77545922e+02 
 1.24316096e+02  9.65340317e+01  1.77517683e+02 
 1.25748406e+02  9.65338432e+01  1.77489119e+02 
 1.27197218e+02  9.65336503e+01  1.77460227e+02 
 1.28662722e+02  9.65334530e+01  1.77431004e+02 
 1.30145112e+02  9.65332511e+01  1.77401446e+02 
 1.31644581e+02  9.65330445e+01  1.77371548e+02 
 1.33161325e+02  9.65328332e+01  1.77341308e+02 
 1.34695546e+02  9.65326169e+01  1.77310720e+02 
 1.36247442e+02  9.65323957e+01  1.77279782e+02 
 1.37817219e+02  9.65321693e+01  1.77248488e+02 
 1.39405082e+02  9.65319378e+01  1.77216836e+02 
 1.41011240e+02  9.65317008e+01  1.77184821e+02 
 1.42635903e+02  9.65314584e+01  1.77152439e+02 
 1.44279285e+02  9.65312104e+01  1.77119686e+02 
 1.45941600e+02  9.65309566e+01  1.77086557e+02 
 1.47623069e+02  9.65306970e+01  1.77053048e+02 
 1.49323910e+02  9.65304314e+01  1.77019156e+02 
 1.51044348e+02  9.65301596e+01  1.76984875e+02 
 1.52784607e+02  9.65298816e+01  1.76950201e+02 
 1.54544917e+02  9.65295971e+01  1.76915130e+02 
 1.56325509e+02  9.65293061e+01  1.76879657e+02 
 1.58126615e+02  9.65290083e+01  1.76843778e+02 
 1.59948473e+02  9.65287037e+01  1.76807488e+02 
 1.61791322e+02  9.65283920e+01  1.76770783e+02 
 1.63655403e+02  9.65280731e+01  1.76733657e+02 
 1.65540961e+02  9.65277469e+01  1.76696107e+02 
 1.67448244e+02  9.65274131e+01  1.76658127e+02 
 1.69377501e+02  9.65270716e+01  1.76619712e+02 
 1.71328986e+02  9.65267222e+01  1.76580857e+02 
 1.73302956e+02  9.65263648e+01  1.76541559e+02 
 1.75299668e+02  9.65259991e+01  1.76501810e+02 
 1.77319386e+02  9.65256249e+01  1.76461607e+02 
