 frequency       AmagdB          Aphdeg         
 1.00000000e+00  9.65209215e+01  1.75993537e+02 
 1.01152151e+00  9.65204302e+01  1.75947529e+02 
 1.02317577e+00  9.65199275e+01  1.75900997e+02 
 1.03496431e+00  9.65194133e+01  1.75853934e+02 
 1.04688866e+00  9.65188872e+01  1.75806334e+02 
 1.05895041e+00  9.65183490e+01  1.75758192e+02 
 1.07115112e+00  9.65177984e+01  1.75709502e+02 
 1.08349240e+00  9.65172351e+01  1.75660256e+02 
 1.09597588e+00  9.65166589e+01  1.75610450e+02 
 1.10860318e+00  9.65160693e+01  1.75560077e+02 
 1.12137597e+00  9.65154662e+01  1.75509131e+02 
 1.13429592e+00  9.65148492e+01  1.75457604e+02 
 1.14736472e+00  9.65142179e+01  1.75405492e+02 
 1.16058410e+00  9.65135722e+01  1.75352787e+02 
 1.17395579e+00  9.65129115e+01  1.75299482e+02 
 1.18748154e+00  9.65122357e+01  1.75245572e+02 
 1.20116312e+00  9.65115443e+01  1.75191049e+02 
 1.21500234e+00  9.65108370e+01  1.75135907e+02 
 1.22900101e+00  9.65101134e+01  1.75080139e+02 
 1.24316096e+00  9.65093732e+01  1.75023738e+02 
 1.25748406e+00  9.65086159e+01  1.74966696e+02 
 1.27197218e+00  9.65078413e+01  1.74909008e+02 
 1.28662722e+00  9.65070488e+01  1.74850666e+02 
 1.30145112e+00  9.65062381e+01  1.74791662e+02 
 1.31644581e+00  9.65054088e+01  1.74731990e+02 
 1.33161325e+00  9.65045604e+01  1.74671642e+02 
 1.34695546e+00  9.65036926e+01  1.74610610e+02 
 1.36247442e+00  9.65028048e+01  1.74548888e+02 
 1.37817219e+00  9.65018966e+01  1.74486468e+02 
 1.39405082e+00  9.65009676e+01  1.74423342e+02 
 1.41011240e+00  9.65000172e+01  1.74359502e+02 
 1.42635903e+00  9.64990450e+01  1.74294942e+02 
 1.44279285e+00  9.64980505e+01  1.74229652e+02 
 1.45941600e+00  9.64970333e+01  1.74163625e+02 
 1.47623069e+00  9.64959926e+01  1.74096853e+02 
 1.49323910e+00  9.64949282e+01  1.74029329e+02 
 1.51044348e+00  9.64938393e+01  1.73961043e+02 
 1.52784607e+00  9.64927254e+01  1.73891988e+02 
 1.54544917e+00  9.64915861e+01  1.73822155e+02 
