 frequency       AmagdB          Aphdeg         
 1.00000000e+05 -1.68892649e-02 -1.22225251e-02 
 1.01152151e+05 -1.68865724e-02 -1.23633517e-02 
 1.02317577e+05 -1.68838175e-02 -1.25058010e-02 
 1.03496431e+05 -1.68809987e-02 -1.26498917e-02 
 1.04688866e+05 -1.68781147e-02 -1.27956427e-02 
 1.05895041e+05 -1.68751638e-02 -1.29430732e-02 
 1.07115112e+05 -1.68721445e-02 -1.30922024e-02 
 1.08349240e+05 -1.68690552e-02 -1.32430501e-02 
 1.09597588e+05 -1.68658943e-02 -1.33956359e-02 
 1.10860318e+05 -1.68626602e-02 -1.35499800e-02 
 1.12137597e+05 -1.68593511e-02 -1.37061025e-02 
 1.13429592e+05 -1.68559653e-02 -1.38640241e-02 
 1.14736472e+05 -1.68525011e-02 -1.40237653e-02 
 1.16058410e+05 -1.68489566e-02 -1.41853473e-02 
 1.17395579e+05 -1.68453299e-02 -1.43487912e-02 
 1.18748154e+05 -1.68416191e-02 -1.45141184e-02 
 1.20116312e+05 -1.68378224e-02 -1.46813507e-02 
 1.21500234e+05 -1.68339377e-02 -1.48505101e-02 
 1.22900101e+05 -1.68299629e-02 -1.50216187e-02 
 1.24316096e+05 -1.68258960e-02 -1.51946990e-02 
 1.25748406e+05 -1.68217349e-02 -1.53697738e-02 
 1.27197218e+05 -1.68174773e-02 -1.55468660e-02 
 1.28662722e+05 -1.68131211e-02 -1.57259989e-02 
 1.30145112e+05 -1.68086639e-02 -1.59071960e-02 
 1.31644581e+05 -1.68041033e-02 -1.60904811e-02 
 1.33161325e+05 -1.67994371e-02 -1.62758783e-02 
 1.34695546e+05 -1.67946628e-02 -1.64634120e-02 
 1.36247442e+05 -1.67897778e-02 -1.66531066e-02 
 1.37817219e+05 -1.67847795e-02 -1.68449873e-02 
 1.39405082e+05 -1.67796655e-02 -1.70390791e-02 
 1.41011240e+05 -1.67744329e-02 -1.72354075e-02 
 1.42635903e+05 -1.67690790e-02 -1.74339984e-02 
 1.44279285e+05 -1.67636011e-02 -1.76348778e-02 
 1.45941600e+05 -1.67579962e-02 -1.78380721e-02 
 1.47623069e+05 -1.67522613e-02 -1.80436080e-02 
 1.49323910e+05 -1.67463936e-02 -1.82515125e-02 
 1.51044348e+05 -1.67403899e-02 -1.84618129e-02 
 1.52784607e+05 -1.67342470e-02 -1.86745368e-02 
 1.54544917e+05 -1.67279618e-02 -1.88897121e-02 
 1.56325509e+05 -1.67215309e-02 -1.91073672e-02 
 1.58126615e+05 -1.67149510e-02 -1.93275305e-02 
 1.59948473e+05 -1.67082185e-02 -1.95502311e-02 
 1.61791322e+05 -1.67013300e-02 -1.97754982e-02 
 1.63655403e+05 -1.66942819e-02 -2.00033614e-02 
 1.65540961e+05 -1.66870704e-02 -2.02338505e-02 
 1.67448244e+05 -1.66796918e-02 -2.04669960e-02 
 1.69377501e+05 -1.66721422e-02 -2.07028284e-02 
 1.71328986e+05 -1.66644176e-02 -2.09413786e-02 
 1.73302956e+05 -1.66565139e-02 -2.11826781e-02 
 1.75299668e+05 -1.66484271e-02 -2.14267586e-02 
 1.77319386e+05 -1.66401529e-02 -2.16736521e-02 
 1.79362374e+05 -1.66316868e-02 -2.19233910e-02 
 1.81428900e+05 -1.66230246e-02 -2.21760082e-02 
 1.83519236e+05 -1.66141616e-02 -2.24315369e-02 
 1.85633655e+05 -1.66050932e-02 -2.26900105e-02 
 1.87772436e+05 -1.65958146e-02 -2.29514632e-02 
 1.89935859e+05 -1.65863210e-02 -2.32159293e-02 
 1.92124208e+05 -1.65766073e-02 -2.34834435e-02 
 1.94337770e+05 -1.65666685e-02 -2.37540409e-02 
 1.96576835e+05 -1.65564993e-02 -2.40277572e-02 
 1.98841698e+05 -1.65460945e-02 -2.43046282e-02 
 2.01132655e+05 -1.65354485e-02 -2.45846905e-02 
 2.03450008e+05 -1.65245558e-02 -2.48679808e-02 
 2.05794060e+05 -1.65134106e-02 -2.51545363e-02 
 2.08165120e+05 -1.65020070e-02 -2.54443947e-02 
 2.10563497e+05 -1.64903392e-02 -2.57375941e-02 
 2.12989507e+05 -1.64784010e-02 -2.60341731e-02 
 2.15443469e+05 -1.64661860e-02 -2.63341706e-02 
 2.17925704e+05 -1.64536880e-02 -2.66376261e-02 
 2.20436538e+05 -1.64409003e-02 -2.69445795e-02 
 2.22976301e+05 -1.64278162e-02 -2.72550711e-02 
 2.25545326e+05 -1.64144288e-02 -2.75691418e-02 
 2.28143949e+05 -1.64007312e-02 -2.78868328e-02 
 2.30772513e+05 -1.63867161e-02 -2.82081860e-02 
 2.33431362e+05 -1.63723761e-02 -2.85332435e-02 
 2.36120845e+05 -1.63577038e-02 -2.88620481e-02 
 2.38841315e+05 -1.63426914e-02 -2.91946432e-02 
 2.41593128e+05 -1.63273311e-02 -2.95310723e-02 
 2.44376647e+05 -1.63116147e-02 -2.98713798e-02 
 2.47192236e+05 -1.62955341e-02 -3.02156104e-02 
 2.50040265e+05 -1.62790808e-02 -3.05638095e-02 
 2.52921107e+05 -1.62622461e-02 -3.09160227e-02 
 2.55835142e+05 -1.62450212e-02 -3.12722965e-02 
 2.58782750e+05 -1.62273971e-02 -3.16326777e-02 
 2.61764319e+05 -1.62093645e-02 -3.19972138e-02 
 2.64780240e+05 -1.61909140e-02 -3.23659526e-02 
 2.67830910e+05 -1.61720358e-02 -3.27389427e-02 
 2.70916727e+05 -1.61527200e-02 -3.31162333e-02 
 2.74038098e+05 -1.61329566e-02 -3.34978738e-02 
 2.77195432e+05 -1.61127350e-02 -3.38839147e-02 
 2.80389144e+05 -1.60920448e-02 -3.42744066e-02 
 2.83619651e+05 -1.60708750e-02 -3.46694011e-02 
 2.86887379e+05 -1.60492145e-02 -3.50689500e-02 
 2.90192756e+05 -1.60270520e-02 -3.54731059e-02 
 2.93536216e+05 -1.60043758e-02 -3.58819222e-02 
 2.96918198e+05 -1.59811739e-02 -3.62954526e-02 
 3.00339145e+05 -1.59574343e-02 -3.67137515e-02 
 3.03799507e+05 -1.59331445e-02 -3.71368741e-02 
 3.07299737e+05 -1.59082916e-02 -3.75648761e-02 
 3.10840296e+05 -1.58828627e-02 -3.79978138e-02 
 3.14421647e+05 -1.58568443e-02 -3.84357442e-02 
 3.18044260e+05 -1.58302229e-02 -3.88787251e-02 
 3.21708612e+05 -1.58029844e-02 -3.93268148e-02 
 3.25415182e+05 -1.57751146e-02 -3.97800724e-02 
 3.29164458e+05 -1.57465988e-02 -4.02385575e-02 
 3.32956931e+05 -1.57174220e-02 -4.07023307e-02 
 3.36793099e+05 -1.56875689e-02 -4.11714529e-02 
 3.40673466e+05 -1.56570238e-02 -4.16459860e-02 
 3.44598540e+05 -1.56257707e-02 -4.21259927e-02 
 3.48568837e+05 -1.55937932e-02 -4.26115361e-02 
 3.52584878e+05 -1.55610745e-02 -4.31026802e-02 
 3.56647189e+05 -1.55275973e-02 -4.35994900e-02 
 3.60756305e+05 -1.54933442e-02 -4.41020307e-02 
 3.64912764e+05 -1.54582970e-02 -4.46103688e-02 
 3.69117112e+05 -1.54224375e-02 -4.51245713e-02 
 3.73369900e+05 -1.53857468e-02 -4.56447059e-02 
 3.77671687e+05 -1.53482055e-02 -4.61708414e-02 
 3.82023036e+05 -1.53097941e-02 -4.67030472e-02 
 3.86424520e+05 -1.52704922e-02 -4.72413934e-02 
 3.90876716e+05 -1.52302793e-02 -4.77859511e-02 
 3.95380208e+05 -1.51891343e-02 -4.83367923e-02 
 3.99935587e+05 -1.51470355e-02 -4.88939896e-02 
 4.04543450e+05 -1.51039608e-02 -4.94576166e-02 
 4.09204403e+05 -1.50598876e-02 -5.00277477e-02 
 4.13919058e+05 -1.50147927e-02 -5.06044583e-02 
 4.18688032e+05 -1.49686525e-02 -5.11878244e-02 
 4.23511952e+05 -1.49214427e-02 -5.17779232e-02 
 4.28391452e+05 -1.48731385e-02 -5.23748327e-02 
 4.33327170e+05 -1.48237146e-02 -5.29786316e-02 
 4.38319755e+05 -1.47731449e-02 -5.35893999e-02 
 4.43369862e+05 -1.47214029e-02 -5.42072183e-02 
 4.48478155e+05 -1.46684614e-02 -5.48321684e-02 
 4.53645302e+05 -1.46142927e-02 -5.54643329e-02 
 4.58871983e+05 -1.45588682e-02 -5.61037954e-02 
 4.64158883e+05 -1.45021588e-02 -5.67506405e-02 
 4.69506697e+05 -1.44441348e-02 -5.74049538e-02 
 4.74916125e+05 -1.43847656e-02 -5.80668218e-02 
 4.80387878e+05 -1.43240200e-02 -5.87363322e-02 
 4.85922674e+05 -1.42618662e-02 -5.94135737e-02 
 4.91521239e+05 -1.41982715e-02 -6.00986358e-02 
 4.97184308e+05 -1.41332025e-02 -6.07916093e-02 
 5.02912624e+05 -1.40666249e-02 -6.14925861e-02 
 5.08706939e+05 -1.39985038e-02 -6.22016589e-02 
 5.14568013e+05 -1.39288033e-02 -6.29189218e-02 
 5.20496616e+05 -1.38574870e-02 -6.36444698e-02 
 5.26493525e+05 -1.37845172e-02 -6.43783992e-02 
 5.32559528e+05 -1.37098557e-02 -6.51208072e-02 
 5.38695420e+05 -1.36334631e-02 -6.58717924e-02 
 5.44902008e+05 -1.35552994e-02 -6.66314544e-02 
 5.51180104e+05 -1.34753235e-02 -6.73998940e-02 
 5.57530533e+05 -1.33934933e-02 -6.81772132e-02 
 5.63954130e+05 -1.33097659e-02 -6.89635153e-02 
 5.70451735e+05 -1.32240971e-02 -6.97589046e-02 
 5.77024203e+05 -1.31364421e-02 -7.05634869e-02 
 5.83672396e+05 -1.30467546e-02 -7.13773691e-02 
 5.90397186e+05 -1.29549877e-02 -7.22006594e-02 
 5.97199455e+05 -1.28610929e-02 -7.30334673e-02 
 6.04080098e+05 -1.27650210e-02 -7.38759034e-02 
 6.11040015e+05 -1.26667215e-02 -7.47280801e-02 
 6.18080121e+05 -1.25661427e-02 -7.55901105e-02 
 6.25201340e+05 -1.24632317e-02 -7.64621096e-02 
