 v-sweep         Vin             Vout           
 0.00000000e+00  0.00000000e+00  8.92412723e-08 
 1.80000000e-03  1.80000000e-03  9.11713501e-08 
 3.60000000e-03  3.60000000e-03  9.32538016e-08 
 5.40000000e-03  5.40000000e-03  9.54462191e-08 
 7.20000000e-03  7.20000000e-03  9.77544439e-08 
 9.00000000e-03  9.00000000e-03  1.00184629e-07 
 1.08000000e-02  1.08000000e-02  1.02743258e-07 
 1.26000000e-02  1.26000000e-02  1.05437157e-07 
 1.44000000e-02  1.44000000e-02  1.08273522e-07 
 1.62000000e-02  1.62000000e-02  1.11259929e-07 
 1.80000000e-02  1.80000000e-02  1.14404364e-07 
 1.98000000e-02  1.98000000e-02  1.17715235e-07 
 2.16000000e-02  2.16000000e-02  1.21201405e-07 
 2.34000000e-02  2.34000000e-02  1.24872208e-07 
 2.52000000e-02  2.52000000e-02  1.28737479e-07 
 2.70000000e-02  2.70000000e-02  1.32807580e-07 
 2.88000000e-02  2.88000000e-02  1.37093426e-07 
 3.06000000e-02  3.06000000e-02  1.41606520e-07 
 3.24000000e-02  3.24000000e-02  1.46358980e-07 
 3.42000000e-02  3.42000000e-02  1.51363572e-07 
 3.60000000e-02  3.60000000e-02  1.56633750e-07 
 3.78000000e-02  3.78000000e-02  1.62183686e-07 
 3.96000000e-02  3.96000000e-02  1.68028315e-07 
 4.14000000e-02  4.14000000e-02  1.74183372e-07 
 4.32000000e-02  4.32000000e-02  1.80665438e-07 
 4.50000000e-02  4.50000000e-02  1.87491983e-07 
 4.68000000e-02  4.68000000e-02  1.94681414e-07 
 4.86000000e-02  4.86000000e-02  2.02253131e-07 
 5.04000000e-02  5.04000000e-02  2.10227571e-07 
 5.22000000e-02  5.22000000e-02  2.18626274e-07 
 5.40000000e-02  5.40000000e-02  2.27471934e-07 
 5.58000000e-02  5.58000000e-02  2.36788469e-07 
 5.76000000e-02  5.76000000e-02  2.46601080e-07 
 5.94000000e-02  5.94000000e-02  2.56936327e-07 
 6.12000000e-02  6.12000000e-02  2.67822196e-07 
 6.30000000e-02  6.30000000e-02  2.79288181e-07 
 6.48000000e-02  6.48000000e-02  2.91365363e-07 
 6.66000000e-02  6.66000000e-02  3.04086498e-07 
 6.84000000e-02  6.84000000e-02  3.17486105e-07 
 7.02000000e-02  7.02000000e-02  3.31600563e-07 
 7.20000000e-02  7.20000000e-02  3.46468212e-07 
 7.38000000e-02  7.38000000e-02  3.62129457e-07 
 7.56000000e-02  7.56000000e-02  3.78626883e-07 
 7.74000000e-02  7.74000000e-02  3.96005370e-07 
 7.92000000e-02  7.92000000e-02  4.14312220e-07 
 8.10000000e-02  8.10000000e-02  4.33597287e-07 
 8.28000000e-02  8.28000000e-02  4.53913113e-07 
 8.46000000e-02  8.46000000e-02  4.75315078e-07 
 8.64000000e-02  8.64000000e-02  4.97861552e-07 
 8.82000000e-02  8.82000000e-02  5.21614056e-07 
 9.00000000e-02  9.00000000e-02  5.46637435e-07 
 9.18000000e-02  9.18000000e-02  5.73000036e-07 
 9.36000000e-02  9.36000000e-02  6.00773900e-07 
 9.54000000e-02  9.54000000e-02  6.30034962e-07 
 9.72000000e-02  9.72000000e-02  6.60863262e-07 
 9.90000000e-02  9.90000000e-02  6.93343167e-07 
 1.00800000e-01  1.00800000e-01  7.27563608e-07 
 1.02600000e-01  1.02600000e-01  7.63618329e-07 
 1.04400000e-01  1.04400000e-01  8.01606142e-07 
 1.06200000e-01  1.06200000e-01  8.41631211e-07 
 1.08000000e-01  1.08000000e-01  8.83803336e-07 
 1.09800000e-01  1.09800000e-01  9.28238265e-07 
 1.11600000e-01  1.11600000e-01  9.75058010e-07 
 1.13400000e-01  1.13400000e-01  1.02439120e-06 
 1.15200000e-01  1.15200000e-01  1.07637342e-06 
 1.17000000e-01  1.17000000e-01  1.13114762e-06 
 1.18800000e-01  1.18800000e-01  1.18886448e-06 
 1.20600000e-01  1.20600000e-01  1.24968286e-06 
 1.22400000e-01  1.22400000e-01  1.31377024e-06 
 1.24200000e-01  1.24200000e-01  1.38130317e-06 
 1.26000000e-01  1.26000000e-01  1.45246778e-06 
 1.27800000e-01  1.27800000e-01  1.52746031e-06 
 1.29600000e-01  1.29600000e-01  1.60648764e-06 
 1.31400000e-01  1.31400000e-01  1.68976787e-06 
 1.33200000e-01  1.33200000e-01  1.77753097e-06 
 1.35000000e-01  1.35000000e-01  1.87001936e-06 
 1.36800000e-01  1.36800000e-01  1.96748866e-06 
 1.38600000e-01  1.38600000e-01  2.07020836e-06 
 1.40400000e-01  1.40400000e-01  2.17846259e-06 
 1.42200000e-01  1.42200000e-01  2.29255092e-06 
 1.44000000e-01  1.44000000e-01  2.41278921e-06 
 1.45800000e-01  1.45800000e-01  2.53951049e-06 
 1.47600000e-01  1.47600000e-01  2.67306588e-06 
 1.49400000e-01  1.49400000e-01  2.81382562e-06 
 1.51200000e-01  1.51200000e-01  2.96218007e-06 
 1.53000000e-01  1.53000000e-01  3.11854083e-06 
 1.54800000e-01  1.54800000e-01  3.28334188e-06 
 1.56600000e-01  1.56600000e-01  3.45704084e-06 
 1.58400000e-01  1.58400000e-01  3.64012023e-06 
 1.60200000e-01  1.60200000e-01  3.83308882e-06 
 1.62000000e-01  1.62000000e-01  4.03648308e-06 
 1.63800000e-01  1.63800000e-01  4.25086871e-06 
 1.65600000e-01  1.65600000e-01  4.47684220e-06 
