 frequency       AmagdB          Aphdeg         
 1.00000000e+02  1.05440644e+02  1.76786783e+02 
 1.01152151e+02  1.05440329e+02  1.76749841e+02 
 1.02317577e+02  1.05440006e+02  1.76712475e+02 
 1.03496431e+02  1.05439675e+02  1.76674682e+02 
 1.04688866e+02  1.05439337e+02  1.76636457e+02 
 1.05895041e+02  1.05438991e+02  1.76597794e+02 
 1.07115112e+02  1.05438638e+02  1.76558689e+02 
 1.08349240e+02  1.05438276e+02  1.76519136e+02 
 1.09597588e+02  1.05437905e+02  1.76479132e+02 
 1.10860318e+02  1.05437526e+02  1.76438669e+02 
 1.12137597e+02  1.05437139e+02  1.76397745e+02 
 1.13429592e+02  1.05436742e+02  1.76356352e+02 
 1.14736472e+02  1.05436336e+02  1.76314487e+02 
 1.16058410e+02  1.05435921e+02  1.76272143e+02 
 1.17395579e+02  1.05435496e+02  1.76229315e+02 
 1.18748154e+02  1.05435062e+02  1.76185998e+02 
 1.20116312e+02  1.05434617e+02  1.76142187e+02 
 1.21500234e+02  1.05434163e+02  1.76097875e+02 
 1.22900101e+02  1.05433697e+02  1.76053057e+02 
 1.24316096e+02  1.05433221e+02  1.76007729e+02 
 1.25748406e+02  1.05432734e+02  1.75961882e+02 
 1.27197218e+02  1.05432236e+02  1.75915513e+02 
 1.28662722e+02  1.05431726e+02  1.75868616e+02 
 1.30145112e+02  1.05431205e+02  1.75821183e+02 
 1.31644581e+02  1.05430671e+02  1.75773210e+02 
 1.33161325e+02  1.05430125e+02  1.75724690e+02 
 1.34695546e+02  1.05429567e+02  1.75675617e+02 
 1.36247442e+02  1.05428996e+02  1.75625985e+02 
 1.37817219e+02  1.05428412e+02  1.75575788e+02 
 1.39405082e+02  1.05427814e+02  1.75525020e+02 
 1.41011240e+02  1.05427202e+02  1.75473674e+02 
 1.42635903e+02  1.05426576e+02  1.75421744e+02 
 1.44279285e+02  1.05425936e+02  1.75369223e+02 
 1.45941600e+02  1.05425281e+02  1.75316105e+02 
 1.47623069e+02  1.05424611e+02  1.75262383e+02 
 1.49323910e+02  1.05423926e+02  1.75208050e+02 
 1.51044348e+02  1.05423225e+02  1.75153101e+02 
 1.52784607e+02  1.05422508e+02  1.75097527e+02 
 1.54544917e+02  1.05421774e+02  1.75041322e+02 
 1.56325509e+02  1.05421023e+02  1.74984480e+02 
 1.58126615e+02  1.05420255e+02  1.74926993e+02 
 1.59948473e+02  1.05419470e+02  1.74868853e+02 
 1.61791322e+02  1.05418666e+02  1.74810055e+02 
 1.63655403e+02  1.05417844e+02  1.74750590e+02 
 1.65540961e+02  1.05417003e+02  1.74690452e+02 
 1.67448244e+02  1.05416143e+02  1.74629633e+02 
 1.69377501e+02  1.05415263e+02  1.74568125e+02 
 1.71328986e+02  1.05414363e+02  1.74505921e+02 
 1.73302956e+02  1.05413442e+02  1.74443014e+02 
 1.75299668e+02  1.05412500e+02  1.74379396e+02 
 1.77319386e+02  1.05411536e+02  1.74315059e+02 
 1.79362374e+02  1.05410550e+02  1.74249995e+02 
 1.81428900e+02  1.05409542e+02  1.74184196e+02 
 1.83519236e+02  1.05408510e+02  1.74117655e+02 
 1.85633655e+02  1.05407455e+02  1.74050364e+02 
 1.87772436e+02  1.05406375e+02  1.73982314e+02 
 1.89935859e+02  1.05405271e+02  1.73913497e+02 
 1.92124208e+02  1.05404142e+02  1.73843906e+02 
 1.94337770e+02  1.05402987e+02  1.73773531e+02 
 1.96576835e+02  1.05401805e+02  1.73702364e+02 
 1.98841698e+02  1.05400596e+02  1.73630397e+02 
 2.01132655e+02  1.05399359e+02  1.73557622e+02 
 2.03450008e+02  1.05398095e+02  1.73484029e+02 
 2.05794060e+02  1.05396801e+02  1.73409610e+02 
 2.08165120e+02  1.05395478e+02  1.73334356e+02 
 2.10563497e+02  1.05394124e+02  1.73258259e+02 
 2.12989507e+02  1.05392740e+02  1.73181309e+02 
 2.15443469e+02  1.05391324e+02  1.73103498e+02 
 2.17925704e+02  1.05389875e+02  1.73024816e+02 
 2.20436538e+02  1.05388394e+02  1.72945255e+02 
 2.22976301e+02  1.05386878e+02  1.72864804e+02 
 2.25545326e+02  1.05385328e+02  1.72783456e+02 
 2.28143949e+02  1.05383743e+02  1.72701199e+02 
 2.30772513e+02  1.05382122e+02  1.72618026e+02 
 2.33431362e+02  1.05380463e+02  1.72533926e+02 
 2.36120845e+02  1.05378767e+02  1.72448890e+02 
 2.38841315e+02  1.05377032e+02  1.72362908e+02 
 2.41593128e+02  1.05375258e+02  1.72275971e+02 
 2.44376647e+02  1.05373444e+02  1.72188068e+02 
 2.47192236e+02  1.05371588e+02  1.72099190e+02 
 2.50040265e+02  1.05369690e+02  1.72009327e+02 
 2.52921107e+02  1.05367748e+02  1.71918469e+02 
 2.55835142e+02  1.05365763e+02  1.71826605e+02 
 2.58782750e+02  1.05363733e+02  1.71733726e+02 
 2.61764319e+02  1.05361656e+02  1.71639821e+02 
 2.64780240e+02  1.05359533e+02  1.71544880e+02 
 2.67830910e+02  1.05357361e+02  1.71448892e+02 
 2.70916727e+02  1.05355140e+02  1.71351848e+02 
 2.74038098e+02  1.05352869e+02  1.71253736e+02 
 2.77195432e+02  1.05350547e+02  1.71154547e+02 
 2.80389144e+02  1.05348171e+02  1.71054269e+02 
 2.83619651e+02  1.05345743e+02  1.70952891e+02 
 2.86887379e+02  1.05343259e+02  1.70850403e+02 
 2.90192756e+02  1.05340719e+02  1.70746795e+02 
 2.93536216e+02  1.05338122e+02  1.70642054e+02 
 2.96918198e+02  1.05335466e+02  1.70536171e+02 
 3.00339145e+02  1.05332751e+02  1.70429134e+02 
 3.03799507e+02  1.05329974e+02  1.70320932e+02 
 3.07299737e+02  1.05327135e+02  1.70211554e+02 
 3.10840296e+02  1.05324232e+02  1.70100989e+02 
 3.14421647e+02  1.05321263e+02  1.69989226e+02 
 3.18044260e+02  1.05318228e+02  1.69876253e+02 
 3.21708612e+02  1.05315125e+02  1.69762059e+02 
 3.25415182e+02  1.05311952e+02  1.69646633e+02 
 3.29164458e+02  1.05308708e+02  1.69529963e+02 
 3.32956931e+02  1.05305391e+02  1.69412038e+02 
 3.36793099e+02  1.05302000e+02  1.69292846e+02 
 3.40673466e+02  1.05298533e+02  1.69172376e+02 
 3.44598540e+02  1.05294989e+02  1.69050616e+02 
 3.48568837e+02  1.05291365e+02  1.68927555e+02 
 3.52584878e+02  1.05287661e+02  1.68803180e+02 
 3.56647189e+02  1.05283874e+02  1.68677482e+02 
 3.60756305e+02  1.05280003e+02  1.68550447e+02 
 3.64912764e+02  1.05276046e+02  1.68422063e+02 
 3.69117112e+02  1.05272000e+02  1.68292321e+02 
 3.73369900e+02  1.05267865e+02  1.68161207e+02 
 3.77671687e+02  1.05263638e+02  1.68028709e+02 
 3.82023036e+02  1.05259317e+02  1.67894817e+02 
 3.86424520e+02  1.05254901e+02  1.67759518e+02 
 3.90876716e+02  1.05250387e+02  1.67622801e+02 
 3.95380208e+02  1.05245773e+02  1.67484654e+02 
 3.99935587e+02  1.05241057e+02  1.67345065e+02 
 4.04543450e+02  1.05236238e+02  1.67204023e+02 
 4.09204403e+02  1.05231312e+02  1.67061515e+02 
 4.13919058e+02  1.05226277e+02  1.66917530e+02 
 4.18688032e+02  1.05221132e+02  1.66772057e+02 
 4.23511952e+02  1.05215875e+02  1.66625084e+02 
 4.28391452e+02  1.05210501e+02  1.66476600e+02 
 4.33327170e+02  1.05205011e+02  1.66326592e+02 
 4.38319755e+02  1.05199400e+02  1.66175049e+02 
 4.43369862e+02  1.05193666e+02  1.66021960e+02 
 4.48478155e+02  1.05187808e+02  1.65867314e+02 
 4.53645302e+02  1.05181822e+02  1.65711099e+02 
 4.58871983e+02  1.05175706e+02  1.65553304e+02 
 4.64158883e+02  1.05169456e+02  1.65393917e+02 
 4.69506697e+02  1.05163072e+02  1.65232929e+02 
 4.74916125e+02  1.05156549e+02  1.65070327e+02 
 4.80387878e+02  1.05149885e+02  1.64906101e+02 
 4.85922674e+02  1.05143077e+02  1.64740240e+02 
 4.91521239e+02  1.05136122e+02  1.64572734e+02 
 4.97184308e+02  1.05129018e+02  1.64403571e+02 
 5.02912624e+02  1.05121761e+02  1.64232742e+02 
 5.08706939e+02  1.05114349e+02  1.64060236e+02 
 5.14568013e+02  1.05106777e+02  1.63886043e+02 
 5.20496616e+02  1.05099044e+02  1.63710152e+02 
 5.26493525e+02  1.05091146e+02  1.63532555e+02 
 5.32559528e+02  1.05083080e+02  1.63353241e+02 
 5.38695420e+02  1.05074842e+02  1.63172201e+02 
 5.44902008e+02  1.05066430e+02  1.62989426e+02 
 5.51180104e+02  1.05057839e+02  1.62804906e+02 
 5.57530533e+02  1.05049067e+02  1.62618632e+02 
 5.63954130e+02  1.05040109e+02  1.62430596e+02 
 5.70451735e+02  1.05030964e+02  1.62240789e+02 
 5.77024203e+02  1.05021626e+02  1.62049203e+02 
 5.83672396e+02  1.05012092e+02  1.61855830e+02 
 5.90397186e+02  1.05002359e+02  1.61660662e+02 
 5.97199455e+02  1.04992424e+02  1.61463691e+02 
 6.04080098e+02  1.04982281e+02  1.61264911e+02 
 6.11040015e+02  1.04971928e+02  1.61064313e+02 
 6.18080121e+02  1.04961360e+02  1.60861892e+02 
 6.25201340e+02  1.04950574e+02  1.60657642e+02 
 6.32404607e+02  1.04939565e+02  1.60451555e+02 
 6.39690866e+02  1.04928331e+02  1.60243626e+02 
 6.47061073e+02  1.04916866e+02  1.60033850e+02 
 6.54516197e+02  1.04905166e+02  1.59822222e+02 
 6.62057214e+02  1.04893228e+02  1.59608737e+02 
 6.69685116e+02  1.04881047e+02  1.59393390e+02 
 6.77400903e+02  1.04868619e+02  1.59176178e+02 
 6.85205587e+02  1.04855940e+02  1.58957096e+02 
 6.93100193e+02  1.04843005e+02  1.58736143e+02 
 7.01085757e+02  1.04829809e+02  1.58513314e+02 
 7.09163327e+02  1.04816350e+02  1.58288608e+02 
 7.17333962e+02  1.04802622e+02  1.58062023e+02 
 7.25598736e+02  1.04788620e+02  1.57833556e+02 
 7.33958732e+02  1.04774340e+02  1.57603208e+02 
 7.42415048e+02  1.04759778e+02  1.57370978e+02 
 7.50968794e+02  1.04744929e+02  1.57136865e+02 
 7.59621092e+02  1.04729788e+02  1.56900871e+02 
 7.68373077e+02  1.04714350e+02  1.56662995e+02 
 7.77225899e+02  1.04698611e+02  1.56423240e+02 
 7.86180718e+02  1.04682567e+02  1.56181607e+02 
 7.95238711e+02  1.04666211e+02  1.55938100e+02 
 8.04401065e+02  1.04649540e+02  1.55692720e+02 
 8.13668983e+02  1.04632549e+02  1.55445473e+02 
 8.23043682e+02  1.04615232e+02  1.55196362e+02 
 8.32526392e+02  1.04597586e+02  1.54945392e+02 
 8.42118357e+02  1.04579604e+02  1.54692568e+02 
 8.51820836e+02  1.04561282e+02  1.54437897e+02 
 8.61635102e+02  1.04542615e+02  1.54181385e+02 
 8.71562443e+02  1.04523599e+02  1.53923040e+02 
 8.81604162e+02  1.04504227e+02  1.53662870e+02 
 8.91761577e+02  1.04484495e+02  1.53400882e+02 
 9.02036021e+02  1.04464399e+02  1.53137088e+02 
 9.12428842e+02  1.04443932e+02  1.52871495e+02 
 9.22941404e+02  1.04423091e+02  1.52604116e+02 
 9.33575087e+02  1.04401870e+02  1.52334962e+02 
 9.44331286e+02  1.04380263e+02  1.52064044e+02 
 9.55211412e+02  1.04358267e+02  1.51791375e+02 
 9.66216894e+02  1.04335875e+02  1.51516969e+02 
 9.77349176e+02  1.04313084e+02  1.51240840e+02 
 9.88609719e+02  1.04289887e+02  1.50963003e+02 
 1.00000000e+03  1.04266280e+02  1.50683473e+02 
 1.01152151e+03  1.04242259e+02  1.50402267e+02 
 1.02317577e+03  1.04217817e+02  1.50119403e+02 
 1.03496431e+03  1.04192950e+02  1.49834896e+02 
 1.04688866e+03  1.04167654e+02  1.49548767e+02 
 1.05895041e+03  1.04141923e+02  1.49261035e+02 
 1.07115112e+03  1.04115752e+02  1.48971720e+02 
 1.08349240e+03  1.04089138e+02  1.48680842e+02 
 1.09597588e+03  1.04062074e+02  1.48388423e+02 
 1.10860318e+03  1.04034556e+02  1.48094486e+02 
 1.12137597e+03  1.04006580e+02  1.47799054e+02 
 1.13429592e+03  1.03978141e+02  1.47502150e+02 
 1.14736472e+03  1.03949234e+02  1.47203799e+02 
 1.16058410e+03  1.03919855e+02  1.46904027e+02 
 1.17395579e+03  1.03890000e+02  1.46602859e+02 
 1.18748154e+03  1.03859664e+02  1.46300322e+02 
 1.20116312e+03  1.03828842e+02  1.45996444e+02 
 1.21500234e+03  1.03797531e+02  1.45691253e+02 
 1.22900101e+03  1.03765726e+02  1.45384778e+02 
 1.24316096e+03  1.03733423e+02  1.45077048e+02 
 1.25748406e+03  1.03700618e+02  1.44768095e+02 
 1.27197218e+03  1.03667308e+02  1.44457949e+02 
 1.28662722e+03  1.03633488e+02  1.44146641e+02 
 1.30145112e+03  1.03599155e+02  1.43834205e+02 
 1.31644581e+03  1.03564305e+02  1.43520673e+02 
 1.33161325e+03  1.03528934e+02  1.43206078e+02 
 1.34695546e+03  1.03493039e+02  1.42890456e+02 
 1.36247442e+03  1.03456617e+02  1.42573840e+02 
 1.37817219e+03  1.03419664e+02  1.42256268e+02 
 1.39405082e+03  1.03382178e+02  1.41937773e+02 
 1.41011240e+03  1.03344154e+02  1.41618394e+02 
 1.42635903e+03  1.03305591e+02  1.41298167e+02 
 1.44279285e+03  1.03266486e+02  1.40977130e+02 
 1.45941600e+03  1.03226835e+02  1.40655321e+02 
 1.47623069e+03  1.03186637e+02  1.40332779e+02 
 1.49323910e+03  1.03145888e+02  1.40009542e+02 
 1.51044348e+03  1.03104587e+02  1.39685651e+02 
 1.52784607e+03  1.03062732e+02  1.39361145e+02 
 1.54544917e+03  1.03020320e+02  1.39036065e+02 
 1.56325509e+03  1.02977349e+02  1.38710450e+02 
 1.58126615e+03  1.02933819e+02  1.38384343e+02 
 1.59948473e+03  1.02889726e+02  1.38057785e+02 
 1.61791322e+03  1.02845071e+02  1.37730817e+02 
 1.63655403e+03  1.02799851e+02  1.37403481e+02 
 1.65540961e+03  1.02754065e+02  1.37075819e+02 
 1.67448244e+03  1.02707712e+02  1.36747873e+02 
 1.69377501e+03  1.02660791e+02  1.36419686e+02 
 1.71328986e+03  1.02613302e+02  1.36091301e+02 
 1.73302956e+03  1.02565244e+02  1.35762761e+02 
 1.75299668e+03  1.02516617e+02  1.35434107e+02 
 1.77319386e+03  1.02467420e+02  1.35105384e+02 
 1.79362374e+03  1.02417653e+02  1.34776634e+02 
 1.81428900e+03  1.02367316e+02  1.34447900e+02 
 1.83519236e+03  1.02316409e+02  1.34119225e+02 
 1.85633655e+03  1.02264933e+02  1.33790652e+02 
 1.87772436e+03  1.02212888e+02  1.33462224e+02 
 1.89935859e+03  1.02160274e+02  1.33133984e+02 
 1.92124208e+03  1.02107093e+02  1.32805974e+02 
 1.94337770e+03  1.02053345e+02  1.32478237e+02 
 1.96576835e+03  1.01999031e+02  1.32150815e+02 
 1.98841698e+03  1.01944153e+02  1.31823749e+02 
 2.01132655e+03  1.01888712e+02  1.31497083e+02 
 2.03450008e+03  1.01832709e+02  1.31170858e+02 
 2.05794060e+03  1.01776145e+02  1.30845114e+02 
 2.08165120e+03  1.01719024e+02  1.30519893e+02 
 2.10563497e+03  1.01661346e+02  1.30195236e+02 
 2.12989507e+03  1.01603114e+02  1.29871182e+02 
 2.15443469e+03  1.01544329e+02  1.29547772e+02 
 2.17925704e+03  1.01484994e+02  1.29225044e+02 
 2.20436538e+03  1.01425112e+02  1.28903039e+02 
 2.22976301e+03  1.01364685e+02  1.28581795e+02 
 2.25545326e+03  1.01303715e+02  1.28261349e+02 
 2.28143949e+03  1.01242206e+02  1.27941740e+02 
 2.30772513e+03  1.01180161e+02  1.27623004e+02 
 2.33431362e+03  1.01117581e+02  1.27305178e+02 
 2.36120845e+03  1.01054472e+02  1.26988298e+02 
 2.38841315e+03  1.00990835e+02  1.26672399e+02 
 2.41593128e+03  1.00926674e+02  1.26357517e+02 
 2.44376647e+03  1.00861993e+02  1.26043685e+02 
 2.47192236e+03  1.00796795e+02  1.25730936e+02 
 2.50040265e+03  1.00731084e+02  1.25419305e+02 
 2.52921107e+03  1.00664863e+02  1.25108823e+02 
 2.55835142e+03  1.00598137e+02  1.24799521e+02 
 2.58782750e+03  1.00530910e+02  1.24491432e+02 
 2.61764319e+03  1.00463185e+02  1.24184584e+02 
