 frequency       AmagdB          Aphdeg         
 1.00000000e+00  1.05287672e+02  1.68813332e+02 
 1.01152151e+00  1.05283885e+02  1.68687750e+02 
 1.02317577e+00  1.05280014e+02  1.68560833e+02 
 1.03496431e+00  1.05276057e+02  1.68432569e+02 
 1.04688866e+00  1.05272012e+02  1.68302947e+02 
 1.05895041e+00  1.05267877e+02  1.68171955e+02 
 1.07115112e+00  1.05263650e+02  1.68039581e+02 
 1.08349240e+00  1.05259329e+02  1.67905814e+02 
 1.09597588e+00  1.05254913e+02  1.67770641e+02 
 1.10860318e+00  1.05250400e+02  1.67634052e+02 
 1.12137597e+00  1.05245786e+02  1.67496034e+02 
 1.13429592e+00  1.05241070e+02  1.67356576e+02 
 1.14736472e+00  1.05236251e+02  1.67215665e+02 
 1.16058410e+00  1.05231325e+02  1.67073291e+02 
 1.17395579e+00  1.05226291e+02  1.66929442e+02 
 1.18748154e+00  1.05221147e+02  1.66784106e+02 
 1.20116312e+00  1.05215889e+02  1.66637271e+02 
 1.21500234e+00  1.05210516e+02  1.66488926e+02 
 1.22900101e+00  1.05205026e+02  1.66339060e+02 
 1.24316096e+00  1.05199415e+02  1.66187660e+02 
 1.25748406e+00  1.05193682e+02  1.66034716e+02 
 1.27197218e+00  1.05187824e+02  1.65880216e+02 
 1.28662722e+00  1.05181839e+02  1.65724149e+02 
 1.30145112e+00  1.05175723e+02  1.65566504e+02 
 1.31644581e+00  1.05169474e+02  1.65407269e+02 
 1.33161325e+00  1.05163090e+02  1.65246434e+02 
 1.34695546e+00  1.05156567e+02  1.65083987e+02 
 1.36247442e+00  1.05149904e+02  1.64919918e+02 
 1.37817219e+00  1.05143096e+02  1.64754215e+02 
 1.39405082e+00  1.05136142e+02  1.64586869e+02 
 1.41011240e+00  1.05129038e+02  1.64417868e+02 
 1.42635903e+00  1.05121782e+02  1.64247203e+02 
 1.44279285e+00  1.05114369e+02  1.64074863e+02 
 1.45941600e+00  1.05106799e+02  1.63900837e+02 
