 frequency       AmagdB          Aphdeg         
 1.00000000e+04 -5.50563298e-02 -5.93551633e-01 
 1.01152151e+04 -5.50671610e-02 -6.00389747e-01 
 1.02317577e+04 -5.50782432e-02 -6.07306629e-01 
 1.03496431e+04 -5.50895822e-02 -6.14303186e-01 
 1.04688866e+04 -5.51011840e-02 -6.21380335e-01 
 1.05895041e+04 -5.51130547e-02 -6.28539004e-01 
 1.07115112e+04 -5.51252004e-02 -6.35780131e-01 
 1.08349240e+04 -5.51376276e-02 -6.43104667e-01 
 1.09597588e+04 -5.51503427e-02 -6.50513571e-01 
 1.10860318e+04 -5.51633525e-02 -6.58007815e-01 
 1.12137597e+04 -5.51766637e-02 -6.65588380e-01 
 1.13429592e+04 -5.51902834e-02 -6.73256262e-01 
 1.14736472e+04 -5.52042188e-02 -6.81012464e-01 
 1.16058410e+04 -5.52184770e-02 -6.88858004e-01 
 1.17395579e+04 -5.52330656e-02 -6.96793910e-01 
 1.18748154e+04 -5.52479923e-02 -7.04821222e-01 
 1.20116312e+04 -5.52632649e-02 -7.12940993e-01 
 1.21500234e+04 -5.52788913e-02 -7.21154287e-01 
 1.22900101e+04 -5.52948799e-02 -7.29462180e-01 
 1.24316096e+04 -5.53112389e-02 -7.37865762e-01 
 1.25748406e+04 -5.53279771e-02 -7.46366132e-01 
 1.27197218e+04 -5.53451030e-02 -7.54964407e-01 
 1.28662722e+04 -5.53626258e-02 -7.63661712e-01 
 1.30145112e+04 -5.53805547e-02 -7.72459187e-01 
 1.31644581e+04 -5.53988989e-02 -7.81357985e-01 
 1.33161325e+04 -5.54176683e-02 -7.90359272e-01 
 1.34695546e+04 -5.54368725e-02 -7.99464227e-01 
 1.36247442e+04 -5.54565218e-02 -8.08674045e-01 
 1.37817219e+04 -5.54766263e-02 -8.17989930e-01 
 1.39405082e+04 -5.54971967e-02 -8.27413105e-01 
 1.41011240e+04 -5.55182437e-02 -8.36944803e-01 
 1.42635903e+04 -5.55397783e-02 -8.46586273e-01 
 1.44279285e+04 -5.55618120e-02 -8.56338779e-01 
 1.45941600e+04 -5.55843562e-02 -8.66203598e-01 
 1.47623069e+04 -5.56074227e-02 -8.76182022e-01 
 1.49323910e+04 -5.56310237e-02 -8.86275358e-01 
 1.51044348e+04 -5.56551715e-02 -8.96484928e-01 
 1.52784607e+04 -5.56798789e-02 -9.06812070e-01 
 1.54544917e+04 -5.57051587e-02 -9.17258136e-01 
 1.56325509e+04 -5.57310242e-02 -9.27824494e-01 
 1.58126615e+04 -5.57574891e-02 -9.38512529e-01 
 1.59948473e+04 -5.57845671e-02 -9.49323638e-01 
 1.61791322e+04 -5.58122724e-02 -9.60259240e-01 
 1.63655403e+04 -5.58406197e-02 -9.71320764e-01 
 1.65540961e+04 -5.58696238e-02 -9.82509660e-01 
 1.67448244e+04 -5.58992999e-02 -9.93827392e-01 
 1.69377501e+04 -5.59296635e-02 -1.00527544e+00 
 1.71328986e+04 -5.59607306e-02 -1.01685531e+00 
 1.73302956e+04 -5.59925175e-02 -1.02856851e+00 
 1.75299668e+04 -5.60250408e-02 -1.04041658e+00 
 1.77319386e+04 -5.60583176e-02 -1.05240106e+00 
 1.79362374e+04 -5.60923654e-02 -1.06452353e+00 
 1.81428900e+04 -5.61272020e-02 -1.07678557e+00 
 1.83519236e+04 -5.61628456e-02 -1.08918878e+00 
 1.85633655e+04 -5.61993151e-02 -1.10173480e+00 
 1.87772436e+04 -5.62366294e-02 -1.11442526e+00 
 1.89935859e+04 -5.62748081e-02 -1.12726182e+00 
 1.92124208e+04 -5.63138714e-02 -1.14024615e+00 
 1.94337770e+04 -5.63538396e-02 -1.15337997e+00 
 1.96576835e+04 -5.63947337e-02 -1.16666499e+00 
 1.98841698e+04 -5.64365752e-02 -1.18010294e+00 
 2.01132655e+04 -5.64793859e-02 -1.19369559e+00 
 2.03450008e+04 -5.65231884e-02 -1.20744470e+00 
 2.05794060e+04 -5.65680056e-02 -1.22135209e+00 
 2.08165120e+04 -5.66138610e-02 -1.23541956e+00 
 2.10563497e+04 -5.66607786e-02 -1.24964896e+00 
 2.12989507e+04 -5.67087831e-02 -1.26404214e+00 
 2.15443469e+04 -5.67578995e-02 -1.27860099e+00 
 2.17925704e+04 -5.68081537e-02 -1.29332742e+00 
 2.20436538e+04 -5.68595720e-02 -1.30822334e+00 
 2.22976301e+04 -5.69121812e-02 -1.32329070e+00 
 2.25545326e+04 -5.69660091e-02 -1.33853148e+00 
 2.28143949e+04 -5.70210838e-02 -1.35394765e+00 
 2.30772513e+04 -5.70774342e-02 -1.36954125e+00 
 2.33431362e+04 -5.71350898e-02 -1.38531430e+00 
 2.36120845e+04 -5.71940808e-02 -1.40126886e+00 
 2.38841315e+04 -5.72544381e-02 -1.41740703e+00 
 2.41593128e+04 -5.73161934e-02 -1.43373090e+00 
 2.44376647e+04 -5.73793790e-02 -1.45024260e+00 
 2.47192236e+04 -5.74440280e-02 -1.46694431e+00 
 2.50040265e+04 -5.75101744e-02 -1.48383818e+00 
 2.52921107e+04 -5.75778527e-02 -1.50092644e+00 
 2.55835142e+04 -5.76470983e-02 -1.51821130e+00 
 2.58782750e+04 -5.77179477e-02 -1.53569503e+00 
