 v-sweep         Vin             Vout           
 0.00000000e+00  0.00000000e+00  7.66779877e-08 
 1.80000000e-02  1.80000000e-02  1.15867577e-07 
 3.60000000e-02  3.60000000e-02  1.93526086e-07 
 5.40000000e-02  5.40000000e-02  3.23733247e-07 
 7.20000000e-02  7.20000000e-02  5.42357361e-07 
 9.00000000e-02  9.00000000e-02  9.09946662e-07 
 1.08000000e-01  1.08000000e-01  1.52883622e-06 
 1.26000000e-01  1.26000000e-01  2.57219042e-06 
 1.44000000e-01  1.44000000e-01  4.33335268e-06 
 1.62000000e-01  1.62000000e-01  7.30976193e-06 
 1.80000000e-01  1.80000000e-01  1.36879599e-05 
 1.98000000e-01  1.98000000e-01  2.31528148e-05 
 2.16000000e-01  2.16000000e-01  3.92010991e-05 
 2.34000000e-01  2.34000000e-01  6.64259747e-05 
 2.52000000e-01  2.52000000e-01  1.12613049e-04 
 2.70000000e-01  2.70000000e-01  1.90911478e-04 
 2.88000000e-01  2.88000000e-01  3.23376876e-04 
 3.06000000e-01  3.06000000e-01  5.46552803e-04 
 3.24000000e-01  3.24000000e-01  9.19721917e-04 
 3.42000000e-01  3.42000000e-01  1.53572304e-03 
 3.60000000e-01  3.60000000e-01  2.53190371e-03 
 3.78000000e-01  3.78000000e-01  4.09433836e-03 
 3.96000000e-01  3.96000000e-01  6.44449864e-03 
 4.14000000e-01  4.14000000e-01  9.80215063e-03 
 4.32000000e-01  4.32000000e-01  1.43362155e-02 
 4.50000000e-01  4.50000000e-01  2.01310785e-02 
 4.68000000e-01  4.68000000e-01  2.71862574e-02 
 4.86000000e-01  4.86000000e-01  3.54415226e-02 
 5.04000000e-01  5.04000000e-01  4.48073933e-02 
 5.22000000e-01  5.22000000e-01  5.51879187e-02 
 5.40000000e-01  5.40000000e-01  6.64933016e-02 
 5.58000000e-01  5.58000000e-01  7.86449669e-02 
 5.76000000e-01  5.76000000e-01  9.15761922e-02 
 5.94000000e-01  5.94000000e-01  1.05230287e-01 
 6.12000000e-01  6.12000000e-01  1.19557206e-01 
 6.30000000e-01  6.30000000e-01  1.34508709e-01 
 6.48000000e-01  6.48000000e-01  1.50032211e-01 
 6.66000000e-01  6.66000000e-01  1.66065830e-01 
 6.84000000e-01  6.84000000e-01  1.82541593e-01 
 7.02000000e-01  7.02000000e-01  1.99396704e-01 
 7.20000000e-01  7.20000000e-01  2.16574218e-01 
 7.38000000e-01  7.38000000e-01  2.34011386e-01 
 7.56000000e-01  7.56000000e-01  2.51554694e-01 
 7.74000000e-01  7.74000000e-01  2.69327966e-01 
 7.92000000e-01  7.92000000e-01  2.87153377e-01 
 8.10000000e-01  8.10000000e-01  3.05001727e-01 
 8.28000000e-01  8.28000000e-01  3.22862947e-01 
 8.46000000e-01  8.46000000e-01  3.40732927e-01 
 8.64000000e-01  8.64000000e-01  3.58609430e-01 
 8.82000000e-01  8.82000000e-01  3.76491052e-01 
 9.00000000e-01  9.00000000e-01  3.94376852e-01 
 9.18000000e-01  9.18000000e-01  4.12266169e-01 
 9.36000000e-01  9.36000000e-01  4.30158519e-01 
 9.54000000e-01  9.54000000e-01  4.48053534e-01 
 9.72000000e-01  9.72000000e-01  4.65950920e-01 
 9.90000000e-01  9.90000000e-01  4.83850440e-01 
 1.00800000e+00  1.00800000e+00  5.01751893e-01 
 1.02600000e+00  1.02600000e+00  5.19655111e-01 
 1.04400000e+00  1.04400000e+00  5.37559944e-01 
 1.06200000e+00  1.06200000e+00  5.55466264e-01 
 1.08000000e+00  1.08000000e+00  5.73373954e-01 
 1.09800000e+00  1.09800000e+00  5.91282912e-01 
 1.11600000e+00  1.11600000e+00  6.09193042e-01 
 1.13400000e+00  1.13400000e+00  6.27104260e-01 
 1.15200000e+00  1.15200000e+00  6.45016486e-01 
 1.17000000e+00  1.17000000e+00  6.62929650e-01 
 1.18800000e+00  1.18800000e+00  6.80843683e-01 
 1.20600000e+00  1.20600000e+00  6.98758524e-01 
 1.22400000e+00  1.22400000e+00  7.16674114e-01 
 1.24200000e+00  1.24200000e+00  7.34590399e-01 
 1.26000000e+00  1.26000000e+00  7.52507327e-01 
 1.27800000e+00  1.27800000e+00  7.70424851e-01 
 1.29600000e+00  1.29600000e+00  7.88342923e-01 
 1.31400000e+00  1.31400000e+00  8.06261500e-01 
 1.33200000e+00  1.33200000e+00  8.24180540e-01 
 1.35000000e+00  1.35000000e+00  8.42100004e-01 
 1.36800000e+00  1.36800000e+00  8.60019852e-01 
 1.38600000e+00  1.38600000e+00  8.77940047e-01 
 1.40400000e+00  1.40400000e+00  8.95860554e-01 
 1.42200000e+00  1.42200000e+00  9.13781336e-01 
 1.44000000e+00  1.44000000e+00  9.31702361e-01 
 1.45800000e+00  1.45800000e+00  9.49623594e-01 
 1.47600000e+00  1.47600000e+00  9.67545003e-01 
 1.49400000e+00  1.49400000e+00  9.85466554e-01 
 1.51200000e+00  1.51200000e+00  1.00338822e+00 
 1.53000000e+00  1.53000000e+00  1.02130996e+00 
 1.54800000e+00  1.54800000e+00  1.03923175e+00 
 1.56600000e+00  1.56600000e+00  1.05715355e+00 
 1.58400000e+00  1.58400000e+00  1.07507533e+00 
 1.60200000e+00  1.60200000e+00  1.09299707e+00 
 1.62000000e+00  1.62000000e+00  1.11091872e+00 
 1.63800000e+00  1.63800000e+00  1.12884026e+00 
 1.65600000e+00  1.65600000e+00  1.14676165e+00 
 1.67400000e+00  1.67400000e+00  1.16468285e+00 
 1.69200000e+00  1.69200000e+00  1.18260383e+00 
 1.71000000e+00  1.71000000e+00  1.20052455e+00 
 1.72800000e+00  1.72800000e+00  1.21844498e+00 
 1.74600000e+00  1.74600000e+00  1.23636506e+00 
 1.76400000e+00  1.76400000e+00  1.25428477e+00 
 1.78200000e+00  1.78200000e+00  1.27220405e+00 
 1.80000000e+00  1.80000000e+00  1.29012286e+00 
