 frequency       Youtmag         Youtphdeg      
 1.00000000e+04  6.06654619e-05  5.94381189e-01 
 1.01152151e+04  6.06655374e-05  6.01218265e-01 
 1.02317577e+04  6.06656149e-05  6.08151525e-01 
 1.03496431e+04  6.06656941e-05  6.15160351e-01 
 1.04688866e+04  6.06657750e-05  6.22237874e-01 
 1.05895041e+04  6.06658582e-05  6.29425318e-01 
 1.07115112e+04  6.06659427e-05  6.36653971e-01 
 1.08349240e+04  6.06660296e-05  6.43992545e-01 
 1.09597588e+04  6.06661186e-05  6.51427296e-01 
 1.10860318e+04  6.06662094e-05  6.58930737e-01 
 1.12137597e+04  6.06663020e-05  6.66489126e-01 
 1.13429592e+04  6.06663973e-05  6.74184917e-01 
 1.14736472e+04  6.06664950e-05  6.81976880e-01 
 1.16058410e+04  6.06665943e-05  6.89810044e-01 
 1.17395579e+04  6.06666961e-05  6.97753122e-01 
 1.18748154e+04  6.06668006e-05  7.05806111e-01 
 1.20116312e+04  6.06669069e-05  7.13914041e-01 
 1.21500234e+04  6.06670163e-05  7.22159365e-01 
 1.22900101e+04  6.06671278e-05  7.30459626e-01 
 1.24316096e+04  6.06672421e-05  7.38883536e-01 
 1.25748406e+04  6.06673592e-05  7.47403609e-01 
 1.27197218e+04  6.06674787e-05  7.56006100e-01 
 1.28662722e+04  6.06676011e-05  7.64718492e-01 
 1.30145112e+04  6.06677265e-05  7.73540784e-01 
 1.31644581e+04  6.06678539e-05  7.82404264e-01 
 1.33161325e+04  6.06679854e-05  7.91446350e-01 
 1.34695546e+04  6.06681195e-05  8.00557104e-01 
 1.36247442e+04  6.06682571e-05  8.09805235e-01 
 1.37817219e+04  6.06683973e-05  8.19122031e-01 
 1.39405082e+04  6.06685413e-05  8.28576198e-01 
 1.41011240e+04  6.06686882e-05  8.38112769e-01 
 1.42635903e+04  6.06688387e-05  8.47772966e-01 
 1.44279285e+04  6.06689926e-05  8.57543044e-01 
 1.45941600e+04  6.06691501e-05  8.67423003e-01 
 1.47623069e+04  6.06693110e-05  8.77399098e-01 
 1.49323910e+04  6.06694759e-05  8.87512550e-01 
 1.51044348e+04  6.06696448e-05  8.97749617e-01 
 1.52784607e+04  6.06698170e-05  9.08069071e-01 
 1.54544917e+04  6.06699938e-05  9.18539615e-01 
 1.56325509e+04  6.06701742e-05  9.29106284e-01 
