 v-sweep         Vout           
-5.00000000e-04  3.62383758e-01 
-4.99996000e-04  3.62684578e-01 
-4.99992000e-04  3.62837297e-01 
-4.99988000e-04  3.62989772e-01 
-4.99984000e-04  3.63142799e-01 
-4.99980000e-04  3.63296385e-01 
-4.99976000e-04  3.63450535e-01 
-4.99972000e-04  3.63605253e-01 
-4.99968000e-04  3.63760545e-01 
-4.99964000e-04  3.63916414e-01 
-4.99960000e-04  3.64072866e-01 
-4.99956000e-04  3.64229906e-01 
-4.99952000e-04  3.64387538e-01 
-4.99948000e-04  3.64545768e-01 
-4.99944000e-04  3.64704601e-01 
-4.99940000e-04  3.64864042e-01 
-4.99936000e-04  3.65024096e-01 
-4.99932000e-04  3.65184768e-01 
-4.99928000e-04  3.65346065e-01 
-4.99924000e-04  3.65507990e-01 
-4.99920000e-04  3.65670551e-01 
-4.99916000e-04  3.65833751e-01 
-4.99912000e-04  3.65997598e-01 
-4.99908000e-04  3.66162096e-01 
-4.99904000e-04  3.66327252e-01 
-4.99900000e-04  3.66493072e-01 
-4.99896000e-04  3.66659560e-01 
-4.99892000e-04  3.66826724e-01 
-4.99888000e-04  3.66994570e-01 
-4.99884000e-04  3.67163103e-01 
-4.99880000e-04  3.67332331e-01 
-4.99876000e-04  3.67502258e-01 
-4.99872000e-04  3.67672893e-01 
-4.99868000e-04  3.67844241e-01 
-4.99864000e-04  3.68016309e-01 
-4.99860000e-04  3.68189104e-01 
-4.99856000e-04  3.68362632e-01 
-4.99852000e-04  3.68536901e-01 
-4.99848000e-04  3.68711918e-01 
-4.99844000e-04  3.68887689e-01 
-4.99840000e-04  3.69064222e-01 
-4.99836000e-04  3.69241524e-01 
-4.99832000e-04  3.69419603e-01 
-4.99828000e-04  3.69598467e-01 
-4.99824000e-04  3.69778122e-01 
-4.99820000e-04  3.69958576e-01 
-4.99816000e-04  3.70139839e-01 
-4.99812000e-04  3.70321916e-01 
-4.99808000e-04  3.70504818e-01 
-4.99804000e-04  3.70688551e-01 
-4.99800000e-04  3.70873124e-01 
-4.99796000e-04  3.71058546e-01 
-4.99792000e-04  3.71244825e-01 
-4.99788000e-04  3.71431971e-01 
-4.99784000e-04  3.71619991e-01 
-4.99780000e-04  3.71808895e-01 
-4.99776000e-04  3.71998692e-01 
-4.99772000e-04  3.72189391e-01 
-4.99768000e-04  3.72381002e-01 
-4.99764000e-04  3.72573535e-01 
-4.99760000e-04  3.72766999e-01 
-4.99756000e-04  3.72961403e-01 
-4.99752000e-04  3.73156759e-01 
-4.99748000e-04  3.73353075e-01 
-4.99744000e-04  3.73550364e-01 
-4.99740000e-04  3.73748634e-01 
-4.99736000e-04  3.73947897e-01 
-4.99732000e-04  3.74148164e-01 
-4.99728000e-04  3.74349445e-01 
-4.99724000e-04  3.74551752e-01 
-4.99720000e-04  3.74755097e-01 
-4.99716000e-04  3.74959491e-01 
-4.99712000e-04  3.75164945e-01 
-4.99708000e-04  3.75371472e-01 
-4.99704000e-04  3.75579084e-01 
-4.99700000e-04  3.75787794e-01 
-4.99696000e-04  3.75997613e-01 
-4.99692000e-04  3.76208555e-01 
-4.99688000e-04  3.76420633e-01 
-4.99684000e-04  3.76633860e-01 
-4.99680000e-04  3.76848249e-01 
-4.99676000e-04  3.77063815e-01 
-4.99672000e-04  3.77280572e-01 
-4.99668000e-04  3.77498532e-01 
-4.99664000e-04  3.77717712e-01 
-4.99660000e-04  3.77938126e-01 
-4.99656000e-04  3.78159788e-01 
-4.99652000e-04  3.78382715e-01 
-4.99648000e-04  3.78606921e-01 
-4.99644000e-04  3.78832422e-01 
-4.99640000e-04  3.79059235e-01 
-4.99636000e-04  3.79287376e-01 
-4.99632000e-04  3.79516862e-01 
