 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  3.17099264e-05  1.39670151e+01 
 1.05776756e+00  3.08318938e-05  1.34666823e+01 
 1.11887221e+00  2.99781738e-05  1.29734459e+01 
 1.18350673e+00  2.91480933e-05  1.24870385e+01 
 1.25187503e+00  2.83409977e-05  1.20072592e+01 
 1.32419279e+00  2.75562505e-05  1.15339798e+01 
 1.40068818e+00  2.67932330e-05  1.10671503e+01 
 1.48160252e+00  2.60513434e-05  1.06068028e+01 
 1.56719108e+00  2.53299967e-05  1.01530547e+01 
 1.65772389e+00  2.46286242e-05  9.70610915e+00 
 1.75348655e+00  2.39466727e-05  9.26625338e+00 
 1.85478119e+00  2.32836044e-05  8.83385436e+00 
 1.96192737e+00  2.26388966e-05  8.40935172e+00 
 2.07526313e+00  2.20120408e-05  7.99324776e+00 
 2.19514602e+00  2.14025427e-05  7.58609485e+00 
 2.32195425e+00  2.08099217e-05  7.18848056e+00 
 2.45608788e+00  2.02337105e-05  6.80101096e+00 
 2.59797009e+00  1.96734546e-05  6.42429291e+00 
 2.74804848e+00  1.91287124e-05  6.05891601e+00 
 2.90679654e+00  1.85990543e-05  5.70543506e+00 
 3.07471508e+00  1.80840625e-05  5.36435386e+00 
 3.25233387e+00  1.75833310e-05  5.03611106e+00 
 3.44021326e+00  1.70964649e-05  4.72106853e+00 
 3.63894599e+00  1.66230803e-05  4.41950283e+00 
 3.84915902e+00  1.61628040e-05  4.13159970e+00 
 4.07151555e+00  1.57152729e-05  3.85745188e+00 
 4.30671707e+00  1.52801342e-05  3.59705977e+00 
 4.55550561e+00  1.48570448e-05  3.35033485e+00 
 4.81866605e+00  1.44456709e-05  3.11710531e+00 
 5.09702863e+00  1.40456882e-05  2.89712336e+00 
 5.39147154e+00  1.36567814e-05  2.69007389e+00 
 5.70292370e+00  1.32786436e-05  2.49558380e+00 
 6.03236769e+00  1.29109769e-05  2.31323171e+00 
 6.38084285e+00  1.25534911e-05  2.14255761e+00 
 6.74944857e+00  1.22059045e-05  1.98307210e+00 
 7.13934775e+00  1.18679428e-05  1.83426506e+00 
 7.55177045e+00  1.15393398e-05  1.69561362e+00 
 7.98801781e+00  1.12198361e-05  1.56658919e+00 
 8.44946611e+00  1.09091799e-05  1.44666359e+00 
 8.93757115e+00  1.06071262e-05  1.33531437e+00 
 9.45387283e+00  1.03134368e-05  1.23202911e+00 
 1.00000000e+01  1.00278801e-05  1.13630904e+00 
 1.05776756e+01  9.75023093e-06  1.04767178e+00 
 1.11887221e+01  9.48027038e-06  9.65653496e-01 
