 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  1.66693179e-05  2.32269076e-02 
 1.05776756e+00  1.62077558e-05  2.25837680e-02 
 1.11887221e+00  1.57589744e-05  2.19584368e-02 
 1.18350673e+00  1.53226198e-05  2.13504209e-02 
 1.25187503e+00  1.48983480e-05  2.07592409e-02 
 1.32419279e+00  1.44858243e-05  2.01844305e-02 
 1.40068818e+00  1.40847235e-05  1.96255364e-02 
 1.48160252e+00  1.36947292e-05  1.90821179e-02 
 1.56719108e+00  1.33155341e-05  1.85537466e-02 
 1.65772389e+00  1.29468389e-05  1.80400056e-02 
 1.75348655e+00  1.25883531e-05  1.75404899e-02 
 1.85478119e+00  1.22397939e-05  1.70548056e-02 
 1.96192737e+00  1.19008864e-05  1.65825696e-02 
 2.07526313e+00  1.15713635e-05  1.61234096e-02 
 2.19514602e+00  1.12509652e-05  1.56769634e-02 
 2.32195425e+00  1.09394389e-05  1.52428789e-02 
 2.45608788e+00  1.06365390e-05  1.48208139e-02 
 2.59797009e+00  1.03420265e-05  1.44104354e-02 
 2.74804848e+00  1.00556694e-05  1.40114198e-02 
 2.90679654e+00  9.77724166e-06  1.36234525e-02 
 3.07471508e+00  9.50652384e-06  1.32462274e-02 
 3.25233387e+00  9.24330244e-06  1.28794470e-02 
 3.44021326e+00  8.98736990e-06  1.25228220e-02 
 3.63894599e+00  8.73852440e-06  1.21760712e-02 
 3.84915902e+00  8.49656970e-06  1.18389210e-02 
 4.07151555e+00  8.26131502e-06  1.15111055e-02 
 4.30671707e+00  8.03257485e-06  1.11923662e-02 
 4.55550561e+00  7.81016881e-06  1.08824515e-02 
 4.81866605e+00  7.59392152e-06  1.05811171e-02 
 5.09702863e+00  7.38366245e-06  1.02881252e-02 
 5.39147154e+00  7.17922582e-06  1.00032445e-02 
 5.70292370e+00  6.98045040e-06  9.72625050e-03 
 6.03236769e+00  6.78717945e-06  9.45692445e-03 
 6.38084285e+00  6.59926057e-06  9.19505388e-03 
 6.74944857e+00  6.41654557e-06  8.94043212e-03 
 7.13934775e+00  6.23889037e-06  8.69285822e-03 
 7.55177045e+00  6.06615488e-06  8.45213675e-03 
 7.98801781e+00  5.89820290e-06  8.21807770e-03 
 8.44946611e+00  5.73490197e-06  7.99049627e-03 
 8.93757115e+00  5.57612333e-06  7.76921274e-03 
 9.45387283e+00  5.42174177e-06  7.55405236e-03 
 1.00000000e+01  5.27163556e-06  7.34484517e-03 
 1.05776756e+01  5.12568632e-06  7.14142589e-03 
 1.11887221e+01  4.98377897e-06  6.94363377e-03 
 1.18350673e+01  4.84580160e-06  6.75131245e-03 
 1.25187503e+01  4.71164542e-06  6.56430988e-03 
 1.32419279e+01  4.58120463e-06  6.38247816e-03 
 1.40068818e+01  4.45437638e-06  6.20567342e-03 
 1.48160252e+01  4.33106065e-06  6.03375571e-03 
 1.56719108e+01  4.21116020e-06  5.86658890e-03 
 1.65772389e+01  4.09458048e-06  5.70404056e-03 
 1.75348655e+01  3.98122956e-06  5.54598182e-03 
 1.85478119e+01  3.87101807e-06  5.39228733e-03 
 1.96192737e+01  3.76385909e-06  5.24283509e-03 
 2.07526313e+01  3.65966811e-06  5.09750639e-03 
 2.19514602e+01  3.55836299e-06  4.95618569e-03 
 2.32195425e+01  3.45986384e-06  4.81876052e-03 
 2.45608788e+01  3.36409298e-06  4.68512141e-03 
 2.59797009e+01  3.27097489e-06  4.55516177e-03 
 2.74804848e+01  3.18043615e-06  4.42877782e-03 
 2.90679654e+01  3.09240535e-06  4.30586846e-03 
 3.07471508e+01  3.00681309e-06  4.18633523e-03 
 3.25233387e+01  2.92359187e-06  4.07008219e-03 
 3.44021326e+01  2.84267606e-06  3.95701585e-03 
 3.63894599e+01  2.76400186e-06  3.84704506e-03 
 3.84915902e+01  2.68750723e-06  3.74008096e-03 
 4.07151555e+01  2.61313184e-06  3.63603687e-03 
 4.30671707e+01  2.54081705e-06  3.53482822e-03 
 4.55550561e+01  2.47050584e-06  3.43637244e-03 
 4.81866605e+01  2.40214276e-06  3.34058894e-03 
 5.09702863e+01  2.33567389e-06  3.24739895e-03 
 5.39147154e+01  2.27104684e-06  3.15672552e-03 
 5.70292370e+01  2.20821063e-06  3.06849335e-03 
 6.03236769e+01  2.14711572e-06  2.98262879e-03 
 6.38084285e+01  2.08771392e-06  2.89905971e-03 
 6.74944857e+01  2.02995840e-06  2.81771546e-03 
 7.13934775e+01  1.97380362e-06  2.73852675e-03 
 7.55177045e+01  1.91920528e-06  2.66142558e-03 
 7.98801781e+01  1.86612035e-06  2.58634519e-03 
 8.44946611e+01  1.81450695e-06  2.51321996e-03 
 8.93757115e+01  1.76432439e-06  2.44198534e-03 
 9.45387283e+01  1.71553310e-06  2.37257777e-03 
 1.00000000e+02  1.66809459e-06  2.30493461e-03 
 1.05776756e+02  1.62197147e-06  2.23899409e-03 
 1.11887221e+02  1.57712736e-06  2.17469523e-03 
 1.18350673e+02  1.53352689e-06  2.11197779e-03 
 1.25187503e+02  1.49113570e-06  2.05078221e-03 
 1.32419279e+02  1.44992035e-06  1.99104957e-03 
 1.40068818e+02  1.40984833e-06  1.93272158e-03 
 1.48160252e+02  1.37088805e-06  1.87574054e-03 
 1.56719108e+02  1.33300879e-06  1.82004936e-03 
 1.65772389e+02  1.29618068e-06  1.76559156e-03 
 1.75348655e+02  1.26037467e-06  1.71231132e-03 
 1.85478119e+02  1.22556253e-06  1.66015357e-03 
 1.96192737e+02  1.19171680e-06  1.60906406e-03 
 2.07526313e+02  1.15881081e-06  1.55898952e-03 
 2.19514602e+02  1.12681859e-06  1.50987784e-03 
 2.32195425e+02  1.09571492e-06  1.46167828e-03 
 2.45608788e+02  1.06547528e-06  1.41434178e-03 
 2.59797009e+02  1.03607581e-06  1.36782125e-03 
 2.74804848e+02  1.00749334e-06  1.32207195e-03 
 2.90679654e+02  9.79705316e-07  1.27705197e-03 
 3.07471508e+02  9.52689832e-07  1.23272266e-03 
 3.25233387e+02  9.26425583e-07  1.18904921e-03 
 3.44021326e+02  9.00891857e-07  1.14600118e-03 
 3.63894599e+02  8.76068517e-07  1.10355311e-03 
 3.84915902e+02  8.51935988e-07  1.06168507e-03 
 4.07151555e+02  8.28475238e-07  1.02038328e-03 
 4.30671707e+02  8.05667766e-07  9.79640557e-04 
 4.55550561e+02  7.83495584e-07  9.39456758e-04 
 4.81866605e+02  7.61941206e-07  8.99839077e-04 
 5.09702863e+02  7.40987634e-07  8.60802166e-04 
 5.39147154e+02  7.20618342e-07  8.22368083e-04 
 5.70292370e+02  7.00817265e-07  7.84566000e-04 
 6.03236769e+02  6.81568786e-07  7.47431684e-04 
 6.38084285e+02  6.62857724e-07  7.11006724e-04 
 6.74944857e+02  6.44669320e-07  6.75337522e-04 
 7.13934775e+02  6.26989228e-07  6.40474071e-04 
 7.55177045e+02  6.09803503e-07  6.06468559e-04 
 7.98801781e+02  5.93098589e-07  5.73373856e-04 
 8.44946611e+02  5.76861307e-07  5.41241950e-04 
 8.93757115e+02  5.61078850e-07  5.10122395e-04 
 9.45387283e+02  5.45738766e-07  4.80060856e-04 
 1.00000000e+03  5.30828952e-07  4.51097799e-04 
 1.05776756e+03  5.16337646e-07  4.23267396e-04 
 1.11887221e+03  5.02253413e-07  3.96596674e-04 
 1.18350673e+03  4.88565139e-07  3.71104938e-04 
 1.25187503e+03  4.75262021e-07  3.46803466e-04 
 1.32419279e+03  4.62333562e-07  3.23695482e-04 
 1.40068818e+03  4.49769555e-07  3.01776354e-04 
 1.48160252e+03  4.37560084e-07  2.81034017e-04 
 1.56719108e+03  4.25695508e-07  2.61449557e-04 
 1.65772389e+03  4.14166460e-07  2.42997919e-04 
 1.75348655e+03  4.02963835e-07  2.25648697e-04 
 1.85478119e+03  3.92078784e-07  2.09366970e-04 
 1.96192737e+03  3.81502709e-07  1.94114141e-04 
