 v-sweep         Vout           
 2.30000000e-05  4.55609083e-01 
 2.30030000e-05  4.55741905e-01 
 2.30060000e-05  4.55865401e-01 
 2.30090000e-05  4.55989328e-01 
 2.30120000e-05  4.56113726e-01 
 2.30150000e-05  4.56238600e-01 
 2.30180000e-05  4.56363952e-01 
 2.30210000e-05  4.56489787e-01 
 2.30240000e-05  4.56616106e-01 
 2.30270000e-05  4.56742915e-01 
 2.30300000e-05  4.56870216e-01 
 2.30330000e-05  4.56998013e-01 
 2.30360000e-05  4.57126308e-01 
 2.30390000e-05  4.57255107e-01 
 2.30420000e-05  4.57384412e-01 
 2.30450000e-05  4.57514227e-01 
 2.30480000e-05  4.57644555e-01 
 2.30510000e-05  4.57775401e-01 
 2.30540000e-05  4.57906768e-01 
 2.30570000e-05  4.58038659e-01 
 2.30600000e-05  4.58171079e-01 
 2.30630000e-05  4.58304032e-01 
 2.30660000e-05  4.58437521e-01 
 2.30690000e-05  4.58571549e-01 
 2.30720000e-05  4.58706122e-01 
 2.30750000e-05  4.58841243e-01 
 2.30780000e-05  4.58976917e-01 
 2.30810000e-05  4.59113146e-01 
 2.30840000e-05  4.59249936e-01 
 2.30870000e-05  4.59387290e-01 
 2.30900000e-05  4.59525212e-01 
 2.30930000e-05  4.59663708e-01 
 2.30960000e-05  4.59802780e-01 
 2.30990000e-05  4.59942434e-01 
 2.31020000e-05  4.60082674e-01 
 2.31050000e-05  4.60223504e-01 
 2.31080000e-05  4.60364929e-01 
 2.31110000e-05  4.60506952e-01 
 2.31140000e-05  4.60649580e-01 
 2.31170000e-05  4.60792815e-01 
 2.31200000e-05  4.60936664e-01 
 2.31230000e-05  4.61081130e-01 
 2.31260000e-05  4.61226218e-01 
 2.31290000e-05  4.61371933e-01 
 2.31320000e-05  4.61518280e-01 
 2.31350000e-05  4.61665264e-01 
 2.31380000e-05  4.61812890e-01 
 2.31410000e-05  4.61961162e-01 
 2.31440000e-05  4.62110085e-01 
 2.31470000e-05  4.62259666e-01 
 2.31500000e-05  4.62409908e-01 
 2.31530000e-05  4.62560817e-01 
 2.31560000e-05  4.62712399e-01 
 2.31590000e-05  4.62864658e-01 
 2.31620000e-05  4.63017600e-01 
 2.31650000e-05  4.63171230e-01 
 2.31680000e-05  4.63325554e-01 
 2.31710000e-05  4.63480577e-01 
 2.31740000e-05  4.63636305e-01 
 2.31770000e-05  4.63792743e-01 
 2.31800000e-05  4.63949898e-01 
 2.31830000e-05  4.64107774e-01 
 2.31860000e-05  4.64266379e-01 
 2.31890000e-05  4.64425716e-01 
 2.31920000e-05  4.64585794e-01 
 2.31950000e-05  4.64746616e-01 
 2.31980000e-05  4.64908191e-01 
 2.32010000e-05  4.65070522e-01 
 2.32040000e-05  4.65233618e-01 
 2.32070000e-05  4.65397484e-01 
 2.32100000e-05  4.65562126e-01 
 2.32130000e-05  4.65727552e-01 
 2.32160000e-05  4.65893766e-01 
 2.32190000e-05  4.66060776e-01 
 2.32220000e-05  4.66228589e-01 
 2.32250000e-05  4.66397211e-01 
 2.32280000e-05  4.66566648e-01 
 2.32310000e-05  4.66736908e-01 
 2.32340000e-05  4.66907998e-01 
 2.32370000e-05  4.67079924e-01 
 2.32400000e-05  4.67252693e-01 
 2.32430000e-05  4.67426313e-01 
 2.32460000e-05  4.67600791e-01 
 2.32490000e-05  4.67776134e-01 
 2.32520000e-05  4.67952349e-01 
 2.32550000e-05  4.68129444e-01 
 2.32580000e-05  4.68307427e-01 
 2.32610000e-05  4.68486304e-01 
