 frequency       inoise_spectrum onoise_spectrum
 1.00000000e+00  3.93636794e-05  1.25133252e+01 
 1.05776756e+00  3.82737143e-05  1.21031914e+01 
 1.11887221e+00  3.72139302e-05  1.16999584e+01 
 1.18350673e+00  3.61834913e-05  1.13032510e+01 
 1.25187503e+00  3.51815851e-05  1.09127210e+01 
 1.32419279e+00  3.42074215e-05  1.05280520e+01 
 1.40068818e+00  3.32602324e-05  1.01489641e+01 
 1.48160252e+00  3.23392708e-05  9.77521887e+00 
 1.56719108e+00  3.14438105e-05  9.40662463e+00 
 1.65772389e+00  3.05731454e-05  9.04304130e+00 
 1.75348655e+00  2.97265889e-05  8.68438511e+00 
 1.85478119e+00  2.89034735e-05  8.33063255e+00 
 1.96192737e+00  2.81031501e-05  7.98182334e+00 
 2.07526313e+00  2.73249876e-05  7.63806216e+00 
 2.19514602e+00  2.65683723e-05  7.29951878e+00 
 2.32195425e+00  2.58327077e-05  6.96642629e+00 
 2.45608788e+00  2.51174135e-05  6.63907736e+00 
 2.59797009e+00  2.44219259e-05  6.31781826e+00 
 2.74804848e+00  2.37456963e-05  6.00304084e+00 
 2.90679654e+00  2.30881915e-05  5.69517246e+00 
 3.07471508e+00  2.24488930e-05  5.39466435e+00 
 3.25233387e+00  2.18272967e-05  5.10197867e+00 
 3.44021326e+00  2.12229125e-05  4.81757491e+00 
 3.63894599e+00  2.06352636e-05  4.54189624e+00 
 3.84915902e+00  2.00638869e-05  4.27535633e+00 
 4.07151555e+00  1.95083316e-05  4.01832739e+00 
 4.30671707e+00  1.89681597e-05  3.77112979e+00 
 4.55550561e+00  1.84429453e-05  3.53402380e+00 
 4.81866605e+00  1.79322741e-05  3.30720359e+00 
 5.09702863e+00  1.74357436e-05  3.09079370e+00 
 5.39147154e+00  1.69529620e-05  2.88484787e+00 
 5.70292370e+00  1.64835489e-05  2.68935010e+00 
 6.03236769e+00  1.60271339e-05  2.50421766e+00 
 6.38084285e+00  1.55833572e-05  2.32930568e+00 
 6.74944857e+00  1.51518689e-05  2.16441304e+00 
 7.13934775e+00  1.47323286e-05  2.00928907e+00 
 7.55177045e+00  1.43244056e-05  1.86364075e+00 
 7.98801781e+00  1.39277782e-05  1.72714012e+00 
 8.44946611e+00  1.35421336e-05  1.59943151e+00 
 8.93757115e+00  1.31671678e-05  1.48013854e+00 
 9.45387283e+00  1.28025849e-05  1.36887059e+00 
 1.00000000e+01  1.24480977e-05  1.26522862e+00 
 1.05776756e+01  1.21034264e-05  1.16881045e+00 
 1.11887221e+01  1.17682994e-05  1.07921522e+00 
 1.18350673e+01  1.14424523e-05  9.96047254e-01 
 1.25187503e+01  1.11256282e-05  9.18919213e-01 
 1.32419279e+01  1.08175773e-05  8.47454673e-01 
 1.40068818e+01  1.05180566e-05  7.81290111e-01 
 1.48160252e+01  1.02268301e-05  7.20076412e-01 
 1.56719108e+01  9.94366792e-06  6.63479924e-01 
 1.65772389e+01  9.66834690e-06  6.11183147e-01 
 1.75348655e+01  9.40064990e-06  5.62885099e-01 
 1.85478119e+01  9.14036585e-06  5.18301416e-01 
 1.96192737e+01  8.88728947e-06  4.77164236e-01 
 2.07526313e+01  8.64122122e-06  4.39221912e-01 
 2.19514602e+01  8.40196705e-06  4.04238588e-01 
 2.32195425e+01  8.16933829e-06  3.71993671e-01 
 2.45608788e+01  7.94315151e-06  3.42281225e-01 
 2.59797009e+01  7.72322835e-06  3.14909324e-01 
 2.74804848e+01  7.50939537e-06  2.89699357e-01 
 2.90679654e+01  7.30148398e-06  2.66485329e-01 
 3.07471508e+01  7.09933020e-06  2.45113148e-01 
 3.25233387e+01  6.90277465e-06  2.25439923e-01 
 3.44021326e+01  6.71166231e-06  2.07333275e-01 
 3.63894599e+01  6.52584249e-06  1.90670664e-01 
 3.84915902e+01  6.34516866e-06  1.75338745e-01 
 4.07151555e+01  6.16949834e-06  1.61232748e-01 
 4.30671707e+01  5.99869302e-06  1.48255883e-01 
 4.55550561e+01  5.83261800e-06  1.36318783e-01 
 4.81866605e+01  5.67114231e-06  1.25338976e-01 
 5.09702863e+01  5.51413864e-06  1.15240380e-01 
 5.39147154e+01  5.36148318e-06  1.05952837e-01 
 5.70292370e+01  5.21305554e-06  9.74116757e-02 
 6.03236769e+01  5.06873868e-06  8.95572967e-02 
 6.38084285e+01  4.92841880e-06  8.23347921e-02 
 6.74944857e+01  4.79198526e-06  7.56935874e-02 
 7.13934775e+01  4.65933046e-06  6.95871100e-02 
 7.55177045e+01  4.53034980e-06  6.39724804e-02 
 7.98801781e+01  4.40494157e-06  5.88102262e-02 
 8.44946611e+01  4.28300688e-06  5.40640173e-02 
 8.93757115e+01  4.16444958e-06  4.97004199e-02 
 9.45387283e+01  4.04917618e-06  4.56886697e-02 
 1.00000000e+02  3.93709578e-06  4.20004617e-02 
 1.05776756e+02  3.82811999e-06  3.86097563e-02 
