 v-sweep         Vout           
-5.00000000e-05  3.12680091e-01 
-4.98500000e-05  3.12743590e-01 
-4.97000000e-05  3.12807185e-01 
-4.95500000e-05  3.12870915e-01 
-4.94000000e-05  3.12934780e-01 
-4.92500000e-05  3.12998781e-01 
-4.91000000e-05  3.13062918e-01 
-4.89500000e-05  3.13127192e-01 
-4.88000000e-05  3.13191603e-01 
-4.86500000e-05  3.13256151e-01 
-4.85000000e-05  3.13320839e-01 
-4.83500000e-05  3.13385665e-01 
-4.82000000e-05  3.13450631e-01 
-4.80500000e-05  3.13515737e-01 
-4.79000000e-05  3.13580984e-01 
-4.77500000e-05  3.13646373e-01 
-4.76000000e-05  3.13711903e-01 
-4.74500000e-05  3.13777577e-01 
-4.73000000e-05  3.13843393e-01 
-4.71500000e-05  3.13909353e-01 
-4.70000000e-05  3.13975458e-01 
-4.68500000e-05  3.14041708e-01 
-4.67000000e-05  3.14108104e-01 
-4.65500000e-05  3.14174646e-01 
-4.64000000e-05  3.14241335e-01 
-4.62500000e-05  3.14308172e-01 
-4.61000000e-05  3.14375157e-01 
-4.59500000e-05  3.14442291e-01 
-4.58000000e-05  3.14509575e-01 
-4.56500000e-05  3.14577008e-01 
-4.55000000e-05  3.14644593e-01 
-4.53500000e-05  3.14712330e-01 
-4.52000000e-05  3.14780218e-01 
-4.50500000e-05  3.14848260e-01 
-4.49000000e-05  3.14916455e-01 
-4.47500000e-05  3.14984804e-01 
-4.46000000e-05  3.15053309e-01 
-4.44500000e-05  3.15121969e-01 
-4.43000000e-05  3.15190785e-01 
-4.41500000e-05  3.15259759e-01 
-4.40000000e-05  3.15328890e-01 
-4.38500000e-05  3.15398180e-01 
-4.37000000e-05  3.15467629e-01 
-4.35500000e-05  3.15537238e-01 
-4.34000000e-05  3.15607007e-01 
-4.32500000e-05  3.15676938e-01 
-4.31000000e-05  3.15747031e-01 
-4.29500000e-05  3.15817287e-01 
-4.28000000e-05  3.15887706e-01 
-4.26500000e-05  3.15958290e-01 
-4.25000000e-05  3.16029039e-01 
-4.23500000e-05  3.16099953e-01 
-4.22000000e-05  3.16171035e-01 
-4.20500000e-05  3.16242283e-01 
-4.19000000e-05  3.16313700e-01 
-4.17500000e-05  3.16385286e-01 
-4.16000000e-05  3.16457041e-01 
-4.14500000e-05  3.16528967e-01 
-4.13000000e-05  3.16601064e-01 
-4.11500000e-05  3.16673334e-01 
-4.10000000e-05  3.16745776e-01 
-4.08500000e-05  3.16818392e-01 
-4.07000000e-05  3.16891183e-01 
-4.05500000e-05  3.16964149e-01 
-4.04000000e-05  3.17037291e-01 
-4.02500000e-05  3.17110610e-01 
-4.01000000e-05  3.17184107e-01 
-3.99500000e-05  3.17257783e-01 
-3.98000000e-05  3.17331638e-01 
-3.96500000e-05  3.17405674e-01 
-3.95000000e-05  3.17479891e-01 
-3.93500000e-05  3.17554290e-01 
-3.92000000e-05  3.17628872e-01 
-3.90500000e-05  3.17703638e-01 
-3.89000000e-05  3.17778589e-01 
-3.87500000e-05  3.17853726e-01 
-3.86000000e-05  3.17929050e-01 
-3.84500000e-05  3.18004560e-01 
-3.83000000e-05  3.18080260e-01 
-3.81500000e-05  3.18156149e-01 
-3.80000000e-05  3.18232228e-01 
-3.78500000e-05  3.18308498e-01 
-3.77000000e-05  3.18384960e-01 
-3.75500000e-05  3.18461616e-01 
-3.74000000e-05  3.18538466e-01 
-3.72500000e-05  3.18615510e-01 
-3.71000000e-05  3.18692751e-01 
-3.69500000e-05  3.18770189e-01 
-3.68000000e-05  3.18847824e-01 
-3.66500000e-05  3.18925659e-01 
-3.65000000e-05  3.19003694e-01 
-3.63500000e-05  3.19081929e-01 
-3.62000000e-05  3.19160367e-01 
-3.60500000e-05  3.19239008e-01 
-3.59000000e-05  3.19317853e-01 
-3.57500000e-05  3.19396902e-01 
-3.56000000e-05  3.19476158e-01 
-3.54500000e-05  3.19555621e-01 
-3.53000000e-05  3.19635293e-01 
-3.51500000e-05  3.19715173e-01 
-3.50000000e-05  3.19795265e-01 
-3.48500000e-05  3.19875567e-01 
-3.47000000e-05  3.19956082e-01 
-3.45500000e-05  3.20036811e-01 
-3.44000000e-05  3.20117755e-01 
-3.42500000e-05  3.20198914e-01 
-3.41000000e-05  3.20280291e-01 
-3.39500000e-05  3.20361885e-01 
-3.38000000e-05  3.20443699e-01 
-3.36500000e-05  3.20525734e-01 
-3.35000000e-05  3.20607990e-01 
-3.33500000e-05  3.20690469e-01 
-3.32000000e-05  3.20773172e-01 
-3.30500000e-05  3.20856100e-01 
-3.29000000e-05  3.20939254e-01 
-3.27500000e-05  3.21022636e-01 
-3.26000000e-05  3.21106247e-01 
-3.24500000e-05  3.21190088e-01 
-3.23000000e-05  3.21274160e-01 
-3.21500000e-05  3.21358464e-01 
-3.20000000e-05  3.21443003e-01 
-3.18500000e-05  3.21527776e-01 
-3.17000000e-05  3.21612786e-01 
-3.15500000e-05  3.21698033e-01 
-3.14000000e-05  3.21783519e-01 
-3.12500000e-05  3.21869246e-01 
-3.11000000e-05  3.21955214e-01 
-3.09500000e-05  3.22041425e-01 
-3.08000000e-05  3.22127880e-01 
-3.06500000e-05  3.22214580e-01 
-3.05000000e-05  3.22301528e-01 
-3.03500000e-05  3.22388724e-01 
-3.02000000e-05  3.22476169e-01 
-3.00500000e-05  3.22563866e-01 
-2.99000000e-05  3.22651815e-01 
-2.97500000e-05  3.22740018e-01 
-2.96000000e-05  3.22828476e-01 
-2.94500000e-05  3.22917191e-01 
-2.93000000e-05  3.23006164e-01 
-2.91500000e-05  3.23095397e-01 
-2.90000000e-05  3.23184892e-01 
-2.88500000e-05  3.23274649e-01 
-2.87000000e-05  3.23364670e-01 
-2.85500000e-05  3.23454956e-01 
-2.84000000e-05  3.23545510e-01 
-2.82500000e-05  3.23636333e-01 
-2.81000000e-05  3.23727426e-01 
-2.79500000e-05  3.23818791e-01 
-2.78000000e-05  3.23910430e-01 
-2.76500000e-05  3.24002344e-01 
-2.75000000e-05  3.24094534e-01 
-2.73500000e-05  3.24187003e-01 
-2.72000000e-05  3.24279751e-01 
-2.70500000e-05  3.24372781e-01 
-2.69000000e-05  3.24466095e-01 
-2.67500000e-05  3.24559693e-01 
-2.66000000e-05  3.24653579e-01 
-2.64500000e-05  3.24747752e-01 
-2.63000000e-05  3.24842216e-01 
-2.61500000e-05  3.24936971e-01 
-2.60000000e-05  3.25032021e-01 
-2.58500000e-05  3.25127365e-01 
-2.57000000e-05  3.25223007e-01 
-2.55500000e-05  3.25318948e-01 
-2.54000000e-05  3.25415189e-01 
-2.52500000e-05  3.25511733e-01 
-2.51000000e-05  3.25608582e-01 
-2.49500000e-05  3.25705737e-01 
-2.48000000e-05  3.25803201e-01 
-2.46500000e-05  3.25900974e-01 
-2.45000000e-05  3.25999060e-01 
-2.43500000e-05  3.26097459e-01 
-2.42000000e-05  3.26196175e-01 
-2.40500000e-05  3.26295209e-01 
-2.39000000e-05  3.26394562e-01 
-2.37500000e-05  3.26494238e-01 
-2.36000000e-05  3.26594238e-01 
-2.34500000e-05  3.26694563e-01 
-2.33000000e-05  3.26795217e-01 
-2.31500000e-05  3.26896201e-01 
-2.30000000e-05  3.26997518e-01 
-2.28500000e-05  3.27099169e-01 
-2.27000000e-05  3.27201156e-01 
-2.25500000e-05  3.27303483e-01 
-2.24000000e-05  3.27406150e-01 
-2.22500000e-05  3.27509161e-01 
-2.21000000e-05  3.27612517e-01 
-2.19500000e-05  3.27716220e-01 
-2.18000000e-05  3.27820274e-01 
-2.16500000e-05  3.27924680e-01 
-2.15000000e-05  3.28029441e-01 
-2.13500000e-05  3.28134558e-01 
-2.12000000e-05  3.28240035e-01 
-2.10500000e-05  3.28345873e-01 
-2.09000000e-05  3.28452076e-01 
-2.07500000e-05  3.28558645e-01 
-2.06000000e-05  3.28665583e-01 
-2.04500000e-05  3.28772893e-01 
-2.03000000e-05  3.28880576e-01 
-2.01500000e-05  3.28988637e-01 
-2.00000000e-05  3.29097076e-01 
