 frequency       Hph1magdB       Hph2magdB      
 1.00000000e+01 -6.21620315e-04 -6.21620315e-04 
 1.02329299e+01 -6.42728252e-04 -6.42728252e-04 
 1.04712855e+01 -6.64830866e-04 -6.64830866e-04 
 1.07151931e+01 -6.87975023e-04 -6.87975023e-04 
 1.09647820e+01 -7.12209799e-04 -7.12209799e-04 
 1.12201845e+01 -7.37586580e-04 -7.37586580e-04 
 1.14815362e+01 -7.64159172e-04 -7.64159172e-04 
 1.17489755e+01 -7.91983918e-04 -7.91983918e-04 
 1.20226443e+01 -8.21119812e-04 -8.21119812e-04 
 1.23026877e+01 -8.51628630e-04 -8.51628630e-04 
 1.25892541e+01 -8.83575054e-04 -8.83575054e-04 
 1.28824955e+01 -9.17026814e-04 -9.17026814e-04 
 1.31825674e+01 -9.52054832e-04 -9.52054832e-04 
 1.34896288e+01 -9.88733366e-04 -9.88733366e-04 
 1.38038426e+01 -1.02714017e-03 -1.02714017e-03 
 1.41253754e+01 -1.06735668e-03 -1.06735668e-03 
 1.44543977e+01 -1.10946812e-03 -1.10946812e-03 
 1.47910839e+01 -1.15356378e-03 -1.15356378e-03 
 1.51356125e+01 -1.19973713e-03 -1.19973713e-03 
 1.54881662e+01 -1.24808603e-03 -1.24808603e-03 
 1.58489319e+01 -1.29871297e-03 -1.29871297e-03 
 1.62181010e+01 -1.35172525e-03 -1.35172525e-03 
 1.65958691e+01 -1.40723523e-03 -1.40723523e-03 
 1.69824365e+01 -1.46536055e-03 -1.46536055e-03 
 1.73780083e+01 -1.52622440e-03 -1.52622440e-03 
 1.77827941e+01 -1.58995576e-03 -1.58995576e-03 
 1.81970086e+01 -1.65668968e-03 -1.65668968e-03 
 1.86208714e+01 -1.72656758e-03 -1.72656758e-03 
 1.90546072e+01 -1.79973752e-03 -1.79973752e-03 
 1.94984460e+01 -1.87635453e-03 -1.87635453e-03 
 1.99526231e+01 -1.95658094e-03 -1.95658094e-03 
 2.04173794e+01 -2.04058671e-03 -2.04058671e-03 
 2.08929613e+01 -2.12854981e-03 -2.12854981e-03 
 2.13796209e+01 -2.22065658e-03 -2.22065658e-03 
 2.18776162e+01 -2.31710211e-03 -2.31710211e-03 
 2.23872114e+01 -2.41809068e-03 -2.41809068e-03 
 2.29086765e+01 -2.52383618e-03 -2.52383618e-03 
 2.34422882e+01 -2.63456255e-03 -2.63456255e-03 
 2.39883292e+01 -2.75050426e-03 -2.75050426e-03 
 2.45470892e+01 -2.87190683e-03 -2.87190683e-03 
 2.51188643e+01 -2.99902728e-03 -2.99902728e-03 
 2.57039578e+01 -3.13213475e-03 -3.13213475e-03 
 2.63026799e+01 -3.27151100e-03 -3.27151100e-03 
 2.69153480e+01 -3.41745107e-03 -3.41745107e-03 
 2.75422870e+01 -3.57026381e-03 -3.57026381e-03 
 2.81838293e+01 -3.73027264e-03 -3.73027264e-03 
 2.88403150e+01 -3.89781613e-03 -3.89781613e-03 
 2.95120923e+01 -4.07324877e-03 -4.07324877e-03 
 3.01995172e+01 -4.25694171e-03 -4.25694171e-03 
 3.09029543e+01 -4.44928349e-03 -4.44928349e-03 
 3.16227766e+01 -4.65068094e-03 -4.65068094e-03 
 3.23593657e+01 -4.86155994e-03 -4.86155994e-03 
 3.31131121e+01 -5.08236639e-03 -5.08236639e-03 
 3.38844156e+01 -5.31356709e-03 -5.31356709e-03 
 3.46736850e+01 -5.55565075e-03 -5.55565075e-03 
 3.54813389e+01 -5.80912899e-03 -5.80912899e-03 
 3.63078055e+01 -6.07453745e-03 -6.07453745e-03 
 3.71535229e+01 -6.35243683e-03 -6.35243683e-03 
 3.80189396e+01 -6.64341414e-03 -6.64341414e-03 
 3.89045145e+01 -6.94808389e-03 -6.94808389e-03 
 3.98107171e+01 -7.26708938e-03 -7.26708938e-03 
 4.07380278e+01 -7.60110401e-03 -7.60110401e-03 
 4.16869383e+01 -7.95083274e-03 -7.95083274e-03 
 4.26579519e+01 -8.31701348e-03 -8.31701348e-03 
 4.36515832e+01 -8.70041870e-03 -8.70041870e-03 
 4.46683592e+01 -9.10185697e-03 -9.10185697e-03 
 4.57088190e+01 -9.52217466e-03 -9.52217466e-03 
 4.67735141e+01 -9.96225772e-03 -9.96225772e-03 
 4.78630092e+01 -1.04230335e-02 -1.04230335e-02 
