 frequency       Hph1magdB       Hph2magdB      
 1.00000000e+03  8.54843223e-04  8.54843223e-04 
 1.02329299e+03  8.97771412e-04  8.97771412e-04 
 1.04712855e+03  9.42582535e-04  9.42582535e-04 
 1.07151931e+03  9.89351802e-04  9.89351802e-04 
 1.09647820e+03  1.03815666e-03  1.03815666e-03 
 1.12201845e+03  1.08907677e-03  1.08907677e-03 
 1.14815362e+03  1.14219398e-03  1.14219398e-03 
 1.17489755e+03  1.19759228e-03  1.19759228e-03 
 1.20226443e+03  1.25535771e-03  1.25535771e-03 
 1.23026877e+03  1.31557832e-03  1.31557832e-03 
 1.25892541e+03  1.37834401e-03  1.37834401e-03 
 1.28824955e+03  1.44374646e-03  1.44374646e-03 
 1.31825674e+03  1.51187892e-03  1.51187892e-03 
 1.34896288e+03  1.58283602e-03  1.58283602e-03 
 1.38038426e+03  1.65671361e-03  1.65671361e-03 
 1.41253754e+03  1.73360843e-03  1.73360843e-03 
 1.44543977e+03  1.81361784e-03  1.81361784e-03 
 1.47910839e+03  1.89683944e-03  1.89683944e-03 
 1.51356125e+03  1.98337070e-03  1.98337070e-03 
 1.54881662e+03  2.07330848e-03  2.07330848e-03 
 1.58489319e+03  2.16674847e-03  2.16674847e-03 
 1.62181010e+03  2.26378465e-03  2.26378465e-03 
 1.65958691e+03  2.36450851e-03  2.36450851e-03 
 1.69824365e+03  2.46900836e-03  2.46900836e-03 
 1.73780083e+03  2.57736840e-03  2.57736840e-03 
 1.77827941e+03  2.68966774e-03  2.68966774e-03 
 1.81970086e+03  2.80597931e-03  2.80597931e-03 
 1.86208714e+03  2.92636855e-03  2.92636855e-03 
 1.90546072e+03  3.05089207e-03  3.05089207e-03 
 1.94984460e+03  3.17959603e-03  3.17959603e-03 
 1.99526231e+03  3.31251443e-03  3.31251443e-03 
 2.04173794e+03  3.44966709e-03  3.44966709e-03 
 2.08929613e+03  3.59105752e-03  3.59105752e-03 
 2.13796209e+03  3.73667043e-03  3.73667043e-03 
 2.18776162e+03  3.88646905e-03  3.88646905e-03 
 2.23872114e+03  4.04039208e-03  4.04039208e-03 
 2.29086765e+03  4.19835038e-03  4.19835038e-03 
 2.34422882e+03  4.36022317e-03  4.36022317e-03 
 2.39883292e+03  4.52585396e-03  4.52585396e-03 
 2.45470892e+03  4.69504593e-03  4.69504593e-03 
 2.51188643e+03  4.86755684e-03  4.86755684e-03 
 2.57039578e+03  5.04309343e-03  5.04309343e-03 
 2.63026799e+03  5.22130515e-03  5.22130515e-03 
 2.69153480e+03  5.40177726e-03  5.40177726e-03 
 2.75422870e+03  5.58402324e-03  5.58402324e-03 
 2.81838293e+03  5.76747634e-03  5.76747634e-03 
 2.88403150e+03  5.95148023e-03  5.95148023e-03 
