 frequency       Hph1magdB       Hph2magdB      
 1.00000000e+03 -2.62593960e-02 -2.62593960e-02 
 1.02329299e+03 -2.74762436e-02 -2.74762436e-02 
 1.04712855e+03 -2.87492391e-02 -2.87492391e-02 
 1.07151931e+03 -3.00809140e-02 -3.00809140e-02 
 1.09647820e+03 -3.14739084e-02 -3.14739084e-02 
 1.12201845e+03 -3.29309749e-02 -3.29309749e-02 
 1.14815362e+03 -3.44549828e-02 -3.44549828e-02 
 1.17489755e+03 -3.60489224e-02 -3.60489224e-02 
 1.20226443e+03 -3.77159094e-02 -3.77159094e-02 
 1.23026877e+03 -3.94591894e-02 -3.94591894e-02 
 1.25892541e+03 -4.12821423e-02 -4.12821423e-02 
 1.28824955e+03 -4.31882869e-02 -4.31882869e-02 
 1.31825674e+03 -4.51812857e-02 -4.51812857e-02 
 1.34896288e+03 -4.72649496e-02 -4.72649496e-02 
 1.38038426e+03 -4.94432423e-02 -4.94432423e-02 
 1.41253754e+03 -5.17202856e-02 -5.17202856e-02 
 1.44543977e+03 -5.41003637e-02 -5.41003637e-02 
 1.47910839e+03 -5.65879282e-02 -5.65879282e-02 
 1.51356125e+03 -5.91876028e-02 -5.91876028e-02 
 1.54881662e+03 -6.19041876e-02 -6.19041876e-02 
 1.58489319e+03 -6.47426643e-02 -6.47426643e-02 
 1.62181010e+03 -6.77081999e-02 -6.77081999e-02 
 1.65958691e+03 -7.08061515e-02 -7.08061515e-02 
 1.69824365e+03 -7.40420701e-02 -7.40420701e-02 
 1.73780083e+03 -7.74217046e-02 -7.74217046e-02 
 1.77827941e+03 -8.09510053e-02 -8.09510053e-02 
 1.81970086e+03 -8.46361271e-02 -8.46361271e-02 
 1.86208714e+03 -8.84834324e-02 -8.84834324e-02 
 1.90546072e+03 -9.24994935e-02 -9.24994935e-02 
 1.94984460e+03 -9.66910943e-02 -9.66910943e-02 
 1.99526231e+03 -1.01065232e-01 -1.01065232e-01 
 2.04173794e+03 -1.05629116e-01 -1.05629116e-01 
 2.08929613e+03 -1.10390172e-01 -1.10390172e-01 
 2.13796209e+03 -1.15356035e-01 -1.15356035e-01 
 2.18776162e+03 -1.20534552e-01 -1.20534552e-01 
 2.23872114e+03 -1.25933777e-01 -1.25933777e-01 
 2.29086765e+03 -1.31561968e-01 -1.31561968e-01 
 2.34422882e+03 -1.37427577e-01 -1.37427577e-01 
 2.39883292e+03 -1.43539251e-01 -1.43539251e-01 
 2.45470892e+03 -1.49905814e-01 -1.49905814e-01 
 2.51188643e+03 -1.56536264e-01 -1.56536264e-01 
 2.57039578e+03 -1.63439756e-01 -1.63439756e-01 
 2.63026799e+03 -1.70625588e-01 -1.70625588e-01 
 2.69153480e+03 -1.78103185e-01 -1.78103185e-01 
 2.75422870e+03 -1.85882080e-01 -1.85882080e-01 
 2.81838293e+03 -1.93971887e-01 -1.93971887e-01 
 2.88403150e+03 -2.02382281e-01 -2.02382281e-01 
 2.95120923e+03 -2.11122965e-01 -2.11122965e-01 
 3.01995172e+03 -2.20203638e-01 -2.20203638e-01 
 3.09029543e+03 -2.29633959e-01 -2.29633959e-01 
 3.16227766e+03 -2.39423508e-01 -2.39423508e-01 
 3.23593657e+03 -2.49581735e-01 -2.49581735e-01 
 3.31131121e+03 -2.60117914e-01 -2.60117914e-01 
 3.38844156e+03 -2.71041086e-01 -2.71041086e-01 
 3.46736850e+03 -2.82359999e-01 -2.82359999e-01 
 3.54813389e+03 -2.94083037e-01 -2.94083037e-01 
 3.63078055e+03 -3.06218148e-01 -3.06218148e-01 
 3.71535229e+03 -3.18772765e-01 -3.18772765e-01 
 3.80189396e+03 -3.31753712e-01 -3.31753712e-01 
 3.89045145e+03 -3.45167116e-01 -3.45167116e-01 
 3.98107171e+03 -3.59018293e-01 -3.59018293e-01 
 4.07380278e+03 -3.73311644e-01 -3.73311644e-01 
 4.16869383e+03 -3.88050526e-01 -3.88050526e-01 
 4.26579519e+03 -4.03237122e-01 -4.03237122e-01 
 4.36515832e+03 -4.18872301e-01 -4.18872301e-01 
 4.46683592e+03 -4.34955459e-01 -4.34955459e-01 
 4.57088190e+03 -4.51484359e-01 -4.51484359e-01 
 4.67735141e+03 -4.68454956e-01 -4.68454956e-01 
 4.78630092e+03 -4.85861201e-01 -4.85861201e-01 
 4.89778819e+03 -5.03694849e-01 -5.03694849e-01 
 5.01187234e+03 -5.21945236e-01 -5.21945236e-01 
 5.12861384e+03 -5.40599055e-01 -5.40599055e-01 
 5.24807460e+03 -5.59640113e-01 -5.59640113e-01 
 5.37031796e+03 -5.79049070e-01 -5.79049070e-01 
 5.49540874e+03 -5.98803167e-01 -5.98803167e-01 
 5.62341325e+03 -6.18875940e-01 -6.18875940e-01 
 5.75439937e+03 -6.39236911e-01 -6.39236911e-01 
 5.88843655e+03 -6.59851268e-01 -6.59851268e-01 
 6.02559586e+03 -6.80679528e-01 -6.80679528e-01 
 6.16595002e+03 -7.01677177e-01 -7.01677177e-01 
 6.30957344e+03 -7.22794301e-01 -7.22794301e-01 
 6.45654229e+03 -7.43975193e-01 -7.43975193e-01 
 6.60693448e+03 -7.65157946e-01 -7.65157946e-01 
 6.76082975e+03 -7.86274022e-01 -7.86274022e-01 
 6.91830971e+03 -8.07247818e-01 -8.07247818e-01 
 7.07945784e+03 -8.27996194e-01 -8.27996194e-01 
 7.24435960e+03 -8.48428006e-01 -8.48428006e-01 
 7.41310241e+03 -8.68443612e-01 -8.68443612e-01 
 7.58577575e+03 -8.87934364e-01 -8.87934364e-01 
 7.76247117e+03 -9.06782101e-01 -9.06782101e-01 
 7.94328235e+03 -9.24858619e-01 -9.24858619e-01 
 8.12830516e+03 -9.42025155e-01 -9.42025155e-01 
 8.31763771e+03 -9.58131863e-01 -9.58131863e-01 
 8.51138038e+03 -9.73017308e-01 -9.73017308e-01 
 8.70963590e+03 -9.86507984e-01 -9.86507984e-01 
 8.91250938e+03 -9.98417869e-01 -9.98417869e-01 
 9.12010839e+03 -1.00854804e+00 -1.00854804e+00 
