 frequency       Hph1magdB       Hph2magdB      
 1.00000000e+03  6.01155890e+00  6.01155890e+00 
 1.02329299e+03  6.01116607e+00  6.01116607e+00 
 1.04712855e+03  6.01075576e+00  6.01075576e+00 
 1.07151931e+03  6.01032725e+00  6.01032725e+00 
 1.09647820e+03  6.00987979e+00  6.00987979e+00 
 1.12201845e+03  6.00941260e+00  6.00941260e+00 
 1.14815362e+03  6.00892488e+00  6.00892488e+00 
 1.17489755e+03  6.00841581e+00  6.00841581e+00 
 1.20226443e+03  6.00788454e+00  6.00788454e+00 
 1.23026877e+03  6.00733020e+00  6.00733020e+00 
 1.25892541e+03  6.00675187e+00  6.00675187e+00 
 1.28824955e+03  6.00614864e+00  6.00614864e+00 
 1.31825674e+03  6.00551955e+00  6.00551955e+00 
 1.34896288e+03  6.00486363e+00  6.00486363e+00 
 1.38038426e+03  6.00417989e+00  6.00417989e+00 
 1.41253754e+03  6.00346730e+00  6.00346730e+00 
 1.44543977e+03  6.00272482e+00  6.00272482e+00 
 1.47910839e+03  6.00195140e+00  6.00195140e+00 
 1.51356125e+03  6.00114596e+00  6.00114596e+00 
 1.54881662e+03  6.00030740e+00  6.00030740e+00 
 1.58489319e+03  5.99943464e+00  5.99943464e+00 
 1.62181010e+03  5.99852654e+00  5.99852654e+00 
 1.65958691e+03  5.99758200e+00  5.99758200e+00 
 1.69824365e+03  5.99659990e+00  5.99659990e+00 
 1.73780083e+03  5.99557912e+00  5.99557912e+00 
 1.77827941e+03  5.99451854e+00  5.99451854e+00 
 1.81970086e+03  5.99341707e+00  5.99341707e+00 
 1.86208714e+03  5.99227364e+00  5.99227364e+00 
 1.90546072e+03  5.99108719e+00  5.99108719e+00 
 1.94984460e+03  5.98985672e+00  5.98985672e+00 
 1.99526231e+03  5.98858125e+00  5.98858125e+00 
 2.04173794e+03  5.98725987e+00  5.98725987e+00 
 2.08929613e+03  5.98589174e+00  5.98589174e+00 
 2.13796209e+03  5.98447609e+00  5.98447609e+00 
 2.18776162e+03  5.98301225e+00  5.98301225e+00 
 2.23872114e+03  5.98149965e+00  5.98149965e+00 
 2.29086765e+03  5.97993787e+00  5.97993787e+00 
 2.34422882e+03  5.97832661e+00  5.97832661e+00 
 2.39883292e+03  5.97666575e+00  5.97666575e+00 
 2.45470892e+03  5.97495536e+00  5.97495536e+00 
 2.51188643e+03  5.97319573e+00  5.97319573e+00 
 2.57039578e+03  5.97138739e+00  5.97138739e+00 
 2.63026799e+03  5.96953114e+00  5.96953114e+00 
 2.69153480e+03  5.96762810e+00  5.96762810e+00 
 2.75422870e+03  5.96567973e+00  5.96567973e+00 
 2.81838293e+03  5.96368787e+00  5.96368787e+00 
 2.88403150e+03  5.96165481e+00  5.96165481e+00 
 2.95120923e+03  5.95958329e+00  5.95958329e+00 
 3.01995172e+03  5.95747659e+00  5.95747659e+00 
