 frequency       H1magdB         H1delay         H2magdB         H2delay         H3magdB         H3delay         H4magdB         H4delay         H5magdB         H5delay        
 1.00000000e-01  0.00000000e+00  4.87961020e-01  0.00000000e+00  4.99966474e-01  0.00000000e+00  4.99999967e-01 -9.64327467e-16  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.01157945e-01 -9.64327467e-16  4.87686050e-01  0.00000000e+00  4.99964872e-01 -9.64327467e-16  4.99999964e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.02329299e-01 -9.64327467e-16  4.87406447e-01  0.00000000e+00  4.99963224e-01  0.00000000e+00  4.99999962e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.03514217e-01  0.00000000e+00  4.87120663e-01  0.00000000e+00  4.99961499e-01  0.00000000e+00  4.99999959e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.04712855e-01  0.00000000e+00  4.86828569e-01 -9.64327467e-16  4.99959692e-01 -9.64327467e-16  4.99999956e-01  0.00000000e+00  5.00000000e-01 -9.64327467e-16  5.00000000e-01 
 1.05925373e-01  0.00000000e+00  4.86530033e-01  0.00000000e+00  4.99957802e-01  0.00000000e+00  4.99999953e-01 -9.64327467e-16  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.07151931e-01 -9.64327467e-16  4.86224923e-01  0.00000000e+00  4.99955823e-01  0.00000000e+00  4.99999950e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.08392691e-01  0.00000000e+00  4.85913101e-01  0.00000000e+00  4.99953751e-01 -9.64327467e-16  4.99999946e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.09647820e-01  0.00000000e+00  4.85594431e-01 -9.64327467e-16  4.99951582e-01  0.00000000e+00  4.99999942e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.10917482e-01  0.00000000e+00  4.85268770e-01  0.00000000e+00  4.99949312e-01  0.00000000e+00  4.99999938e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.12201845e-01  0.00000000e+00  4.84935975e-01  0.00000000e+00  4.99946936e-01  0.00000000e+00  4.99999934e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.13501082e-01 -9.64327467e-16  4.84595901e-01  0.00000000e+00  4.99944449e-01  0.00000000e+00  4.99999929e-01  0.00000000e+00  5.00000000e-01 -9.64327467e-16  5.00000000e-01 
 1.14815362e-01 -9.64327467e-16  4.84248398e-01  0.00000000e+00  4.99941845e-01  0.00000000e+00  4.99999924e-01 -9.64327467e-16  5.00000000e-01 -9.64327467e-16  5.00000000e-01 
 1.16144861e-01 -9.64327467e-16  4.83893318e-01  0.00000000e+00  4.99939120e-01  0.00000000e+00  4.99999919e-01 -9.64327467e-16  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.17489755e-01  0.00000000e+00  4.83530505e-01  0.00000000e+00  4.99936267e-01  0.00000000e+00  4.99999913e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.18850223e-01  0.00000000e+00  4.83159804e-01  0.00000000e+00  4.99933282e-01  0.00000000e+00  4.99999907e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.20226443e-01  0.00000000e+00  4.82781056e-01 -9.64327467e-16  4.99930156e-01  0.00000000e+00  4.99999900e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.21618600e-01 -9.64327467e-16  4.82394100e-01  0.00000000e+00  4.99926885e-01  0.00000000e+00  4.99999893e-01 -9.64327467e-16  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.23026877e-01  0.00000000e+00  4.81998773e-01  0.00000000e+00  4.99923461e-01  0.00000000e+00  4.99999885e-01 -9.64327467e-16  5.00000000e-01 -9.64327467e-16  5.00000000e-01 
 1.24451461e-01  0.00000000e+00  4.81594908e-01  0.00000000e+00  4.99919878e-01  0.00000000e+00  4.99999877e-01  0.00000000e+00  5.00000000e-01 -9.64327467e-16  5.00000000e-01 
 1.25892541e-01  0.00000000e+00  4.81182335e-01  0.00000000e+00  4.99916127e-01  0.00000000e+00  4.99999868e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.27350308e-01  0.00000000e+00  4.80760884e-01  0.00000000e+00  4.99912201e-01  0.00000000e+00  4.99999859e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.28824955e-01  0.00000000e+00  4.80330380e-01  0.00000000e+00  4.99908092e-01  0.00000000e+00  4.99999849e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.30316678e-01  0.00000000e+00  4.79890645e-01  0.00000000e+00  4.99903792e-01 -9.64327467e-16  4.99999838e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.31825674e-01  0.00000000e+00  4.79441501e-01  0.00000000e+00  4.99899291e-01  0.00000000e+00  4.99999826e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.33352143e-01  0.00000000e+00  4.78982764e-01 -9.64327467e-16  4.99894580e-01  0.00000000e+00  4.99999814e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.34896288e-01  0.00000000e+00  4.78514250e-01 -9.64327467e-16  4.99889650e-01  0.00000000e+00  4.99999801e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.36458314e-01  0.00000000e+00  4.78035771e-01  0.00000000e+00  4.99884490e-01  0.00000000e+00  4.99999786e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.38038426e-01  0.00000000e+00  4.77547136e-01  0.00000000e+00  4.99879090e-01  0.00000000e+00  4.99999771e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.39636836e-01  0.00000000e+00  4.77048153e-01  0.00000000e+00  4.99873439e-01  0.00000000e+00  4.99999755e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.41253754e-01  0.00000000e+00  4.76538626e-01  0.00000000e+00  4.99867525e-01  0.00000000e+00  4.99999737e-01  0.00000000e+00  5.00000000e-01  0.00000000e+00  5.00000000e-01 
 1.42889396e-01  0.00000000e+00  4.76018356e-01 -9.64327467e-16  4.99861335e-01 -9.64327467e-16  4.99999719e-01  0.00000000e+00  5.00000000e-01 -9.64327467e-16  5.00000000e-01 
