 frequency       HctmagdB        HscmagdB       
 1.00000000e+00 -4.34294265e-06 -4.61581761e-06 
 1.01099099e+02 -4.41640415e-02 -4.69238544e-02 
 2.01198198e+02 -1.72340351e-01 -1.82941436e-01 
 3.01297297e+02 -3.77371908e-01 -4.00011341e-01 
 4.01396396e+02 -6.48767568e-01 -6.86434486e-01 
 5.01495495e+02 -9.74300669e-01 -1.02871788e+00 
 6.01594595e+02 -1.34150340e+00 -1.41327500e+00 
 7.01693694e+02 -1.73877686e+00 -1.82764358e+00 
 8.01792793e+02 -2.15603644e+00 -2.26115082e+00 
 9.01891892e+02 -2.58495763e+00 -2.70512458e+00 
 1.00199099e+03 -3.01894671e+00 -3.15280768e+00 
 1.10209009e+03 -3.45295799e+00 -3.59911817e+00 
 1.20218919e+03 -3.88324839e+00 -4.04035681e+00 
 1.30228829e+03 -4.30712604e+00 -4.47392066e+00 
 1.40238739e+03 -4.72272224e+00 -4.89805129e+00 
 1.50248649e+03 -5.12879844e+00 -5.31162663e+00 
 1.60258559e+03 -5.52458994e+00 -5.71399569e+00 
 1.70268468e+03 -5.90968287e+00 -6.10485071e+00 
 1.80278378e+03 -6.28391931e+00 -6.48413001e+00 
 1.90288288e+03 -6.64732516e+00 -6.85194522e+00 
 2.00298198e+03 -7.00005588e+00 -7.20852732e+00 
 2.10308108e+03 -7.34235603e+00 -7.55418682e+00 
 2.20318018e+03 -7.67452934e+00 -7.88928482e+00 
 2.30327928e+03 -7.99691665e+00 -8.21421190e+00 
 2.40337838e+03 -8.30987987e+00 -8.52937306e+00 
 2.50347748e+03 -8.61379033e+00 -8.83517695e+00 
 2.60357658e+03 -8.90902053e+00 -9.13202836e+00 
 2.70367568e+03 -9.19593820e+00 -9.42032307e+00 
 2.80377477e+03 -9.47490235e+00 -9.70044443e+00 
 2.90387387e+03 -9.74626053e+00 -9.97276118e+00 
 3.00397297e+03 -1.00103472e+01 -1.02376262e+01 
 3.10407207e+03 -1.02674825e+01 -1.04953759e+01 
 3.20417117e+03 -1.05179723e+01 -1.07463301e+01 
 3.30427027e+03 -1.07621074e+01 -1.09907922e+01 
 3.40436937e+03 -1.10001644e+01 -1.12290496e+01 
 3.50446847e+03 -1.12324056e+01 -1.14613741e+01 
 3.60456757e+03 -1.14590796e+01 -1.16880229e+01 
 3.70466667e+03 -1.16804218e+01 -1.19092391e+01 
 3.80476577e+03 -1.18966553e+01 -1.21252522e+01 
 3.90486486e+03 -1.21079910e+01 -1.23362792e+01 
 4.00496396e+03 -1.23146287e+01 -1.25425252e+01 
 4.10506306e+03 -1.25167575e+01 -1.27441841e+01 
 4.20516216e+03 -1.27145565e+01 -1.29414390e+01 
 4.30526126e+03 -1.29081952e+01 -1.31344633e+01 
 4.40536036e+03 -1.30978342e+01 -1.33234212e+01 
 4.50545946e+03 -1.32836258e+01 -1.35084679e+01 
 4.60555856e+03 -1.34657143e+01 -1.36897506e+01 
 4.70565766e+03 -1.36442367e+01 -1.38674087e+01 
 4.80575676e+03 -1.38193230e+01 -1.40415746e+01 
 4.90585586e+03 -1.39910967e+01 -1.42123737e+01 
 5.00595495e+03 -1.41596750e+01 -1.43799251e+01 
 5.10605405e+03 -1.43251694e+01 -1.45443422e+01 
 5.20615315e+03 -1.44876861e+01 -1.47057326e+01 
 5.30625225e+03 -1.46473260e+01 -1.48641986e+01 
 5.40635135e+03 -1.48041854e+01 -1.50198377e+01 
 5.50645045e+03 -1.49583557e+01 -1.51727428e+01 
