 frequency       HctmagdB        Hsc1magdB       Hsc2magdB       Hsc3magdB       Hsc4magdB       Hsc5magdB      
 1.00000000e+00 -4.34294265e-06 -4.61581758e-06 -4.61581763e-06 -4.61581761e-06 -4.61581758e-06 -4.61581761e-06 
 2.01199199e+02 -1.72342032e-01 -1.82942025e-01 -1.82943218e-01 -1.82943218e-01 -1.82943218e-01 -1.82943218e-01 
 4.01398398e+02 -6.48773579e-01 -6.86423993e-01 -6.86440819e-01 -6.86440819e-01 -6.86440819e-01 -6.86440819e-01 
 6.01597598e+02 -1.34151492e+00 -1.41321524e+00 -1.41328704e+00 -1.41328704e+00 -1.41328704e+00 -1.41328704e+00 
 8.01796797e+02 -2.15605341e+00 -2.26098208e+00 -2.26116842e+00 -2.26116842e+00 -2.26116842e+00 -2.26116842e+00 
 1.00199600e+03 -3.01896845e+00 -3.15246004e+00 -3.15283006e+00 -3.15283007e+00 -3.15283007e+00 -3.15283007e+00 
 1.20219520e+03 -3.88327404e+00 -4.03975825e+00 -4.04038306e+00 -4.04038308e+00 -4.04038308e+00 -4.04038308e+00 
 1.40239439e+03 -4.72275101e+00 -4.89713134e+00 -4.89808059e+00 -4.89808062e+00 -4.89808062e+00 -4.89808062e+00 
 1.60259359e+03 -5.52462118e+00 -5.71268648e+00 -5.71402737e+00 -5.71402742e+00 -5.71402742e+00 -5.71402742e+00 
 1.80279279e+03 -6.28395251e+00 -6.48236617e+00 -6.48416353e+00 -6.48416362e+00 -6.48416362e+00 -6.48416362e+00 
 2.00299199e+03 -7.00009062e+00 -7.20624557e+00 -7.20856227e+00 -7.20856242e+00 -7.20856242e+00 -7.20856242e+00 
 2.20319119e+03 -7.67456533e+00 -7.88642355e+00 -7.88932088e+00 -7.88932111e+00 -7.88932111e+00 -7.88932111e+00 
 2.40339039e+03 -8.30991687e+00 -8.52587193e+00 -8.52940998e+00 -8.52941031e+00 -8.52941031e+00 -8.52941031e+00 
 2.60358959e+03 -8.90905836e+00 -9.12782802e+00 -9.13206591e+00 -9.13206638e+00 -9.13206638e+00 -9.13206638e+00 
 2.80378879e+03 -9.47494086e+00 -9.69548634e+00 -9.70048245e+00 -9.70048309e+00 -9.70048309e+00 -9.70048309e+00 
 3.00398799e+03 -1.00103862e+01 -1.02318525e+01 -1.02376645e+01 -1.02376654e+01 -1.02376654e+01 -1.02376654e+01 
 3.20418719e+03 -1.05180118e+01 -1.07396834e+01 -1.07463686e+01 -1.07463698e+01 -1.07463698e+01 -1.07463698e+01 
 3.40438639e+03 -1.10002044e+01 -1.12214730e+01 -1.12290881e+01 -1.12290896e+01 -1.12290896e+01 -1.12290896e+01 
 3.60458559e+03 -1.14591199e+01 -1.16794600e+01 -1.16880614e+01 -1.16880632e+01 -1.16880632e+01 -1.16880632e+01 
 3.80478478e+03 -1.18966959e+01 -1.21156468e+01 -1.21252904e+01 -1.21252927e+01 -1.21252927e+01 -1.21252927e+01 
 4.00498398e+03 -1.23146696e+01 -1.25318217e+01 -1.25425632e+01 -1.25425660e+01 -1.25425660e+01 -1.25425660e+01 
 4.20518318e+03 -1.27145976e+01 -1.29295819e+01 -1.29414765e+01 -1.29414799e+01 -1.29414799e+01 -1.29414799e+01 
 4.40538238e+03 -1.30978755e+01 -1.33103555e+01 -1.33234582e+01 -1.33234624e+01 -1.33234624e+01 -1.33234624e+01 
 4.60558158e+03 -1.34657558e+01 -1.36754215e+01 -1.36897869e+01 -1.36897919e+01 -1.36897919e+01 -1.36897919e+01 
 4.80578078e+03 -1.38193646e+01 -1.40259277e+01 -1.40416100e+01 -1.40416160e+01 -1.40416160e+01 -1.40416160e+01 
 5.00597998e+03 -1.41597167e+01 -1.43629063e+01 -1.43799596e+01 -1.43799666e+01 -1.43799666e+01 -1.43799666e+01 
 5.20617918e+03 -1.44877280e+01 -1.46872881e+01 -1.47057659e+01 -1.47057741e+01 -1.47057741e+01 -1.47057741e+01 
 5.40637838e+03 -1.48042273e+01 -1.49999141e+01 -1.50198698e+01 -1.50198794e+01 -1.50198794e+01 -1.50198794e+01 
 5.60657758e+03 -1.51099666e+01 -1.53015465e+01 -1.53230329e+01 -1.53230441e+01 -1.53230441e+01 -1.53230441e+01 
 5.80677678e+03 -1.54056291e+01 -1.55928775e+01 -1.56159472e+01 -1.56159600e+01 -1.56159600e+01 -1.56159600e+01 
 6.00697598e+03 -1.56918377e+01 -1.58745370e+01 -1.58992422e+01 -1.58992569e+01 -1.58992569e+01 -1.58992569e+01 
 6.20717518e+03 -1.59691609e+01 -1.61471001e+01 -1.61734928e+01 -1.61735095e+01 -1.61735095e+01 -1.61735095e+01 
 6.40737437e+03 -1.62381192e+01 -1.64110928e+01 -1.64392243e+01 -1.64392433e+01 -1.64392433e+01 -1.64392433e+01 
 6.60757357e+03 -1.64991900e+01 -1.66669971e+01 -1.66969185e+01 -1.66969400e+01 -1.66969400e+01 -1.66969400e+01 
 6.80777277e+03 -1.67528119e+01 -1.69152559e+01 -1.69470178e+01 -1.69470421e+01 -1.69470421e+01 -1.69470421e+01 
 7.00797197e+03 -1.69993889e+01 -1.71562767e+01 -1.71899294e+01 -1.71899567e+01 -1.71899567e+01 -1.71899567e+01 
 7.20817117e+03 -1.72392937e+01 -1.73904355e+01 -1.74260289e+01 -1.74260594e+01 -1.74260594e+01 -1.74260594e+01 
 7.40837037e+03 -1.74728711e+01 -1.76180799e+01 -1.76556632e+01 -1.76556972e+01 -1.76556972e+01 -1.76556972e+01 
 7.60856957e+03 -1.77004399e+01 -1.78395313e+01 -1.78791535e+01 -1.78791914e+01 -1.78791914e+01 -1.78791914e+01 
 7.80876877e+03 -1.79222964e+01 -1.80550881e+01 -1.80967977e+01 -1.80968397e+01 -1.80968397e+01 -1.80968397e+01 
 8.00896797e+03 -1.81387154e+01 -1.82650274e+01 -1.83088725e+01 -1.83089189e+01 -1.83089190e+01 -1.83089190e+01 
 8.20916717e+03 -1.83499531e+01 -1.84696071e+01 -1.85156352e+01 -1.85156865e+01 -1.85156865e+01 -1.85156865e+01 
 8.40936637e+03 -1.85562479e+01 -1.86690675e+01 -1.87173258e+01 -1.87173821e+01 -1.87173821e+01 -1.87173821e+01 
 8.60956557e+03 -1.87578228e+01 -1.88636330e+01 -1.89141679e+01 -1.89142298e+01 -1.89142298e+01 -1.89142298e+01 
 8.80976476e+03 -1.89548860e+01 -1.90535133e+01 -1.91063709e+01 -1.91064387e+01 -1.91064387e+01 -1.91064387e+01 
 9.00996396e+03 -1.91476323e+01 -1.92389047e+01 -1.92941305e+01 -1.92942046e+01 -1.92942047e+01 -1.92942047e+01 
 9.21016316e+03 -1.93362447e+01 -1.94199912e+01 -1.94776303e+01 -1.94777111e+01 -1.94777112e+01 -1.94777112e+01 
 9.41036236e+03 -1.95208945e+01 -1.95969455e+01 -1.96570424e+01 -1.96571303e+01 -1.96571304e+01 -1.96571304e+01 
 9.61056156e+03 -1.97017430e+01 -1.97699299e+01 -1.98325285e+01 -1.98326241e+01 -1.98326242e+01 -1.98326242e+01 
 9.81076076e+03 -1.98789419e+01 -1.99390972e+01 -2.00042409e+01 -2.00043446e+01 -2.00043447e+01 -2.00043447e+01 
 1.00109600e+04 -2.00526341e+01 -2.01045913e+01 -2.01723229e+01 -2.01724352e+01 -2.01724352e+01 -2.01724352e+01 
 1.02111592e+04 -2.02229543e+01 -2.02665478e+01 -2.03369095e+01 -2.03370309e+01 -2.03370310e+01 -2.03370310e+01 
 1.04113584e+04 -2.03900296e+01 -2.04250949e+01 -2.04981284e+01 -2.04982594e+01 -2.04982595e+01 -2.04982595e+01 
 1.06115576e+04 -2.05539803e+01 -2.05803537e+01 -2.06561000e+01 -2.06562411e+01 -2.06562412e+01 -2.06562412e+01 
 1.08117568e+04 -2.07149201e+01 -2.07324386e+01 -2.08109382e+01 -2.08110901e+01 -2.08110902e+01 -2.08110902e+01 
 1.10119560e+04 -2.08729567e+01 -2.08814583e+01 -2.09627509e+01 -2.09629141e+01 -2.09629143e+01 -2.09629143e+01 
 1.12121552e+04 -2.10281920e+01 -2.10275155e+01 -2.11116404e+01 -2.11118156e+01 -2.11118157e+01 -2.11118157e+01 
 1.14123544e+04 -2.11807228e+01 -2.11707079e+01 -2.12577036e+01 -2.12578913e+01 -2.12578915e+01 -2.12578915e+01 
 1.16125536e+04 -2.13306412e+01 -2.13111281e+01 -2.14010326e+01 -2.14012335e+01 -2.14012337e+01 -2.14012337e+01 
 1.18127528e+04 -2.14780343e+01 -2.14488643e+01 -2.15417148e+01 -2.15419295e+01 -2.15419297e+01 -2.15419297e+01 
 1.20129520e+04 -2.16229854e+01 -2.15840001e+01 -2.16798333e+01 -2.16800625e+01 -2.16800627e+01 -2.16800627e+01 
 1.22131512e+04 -2.17655733e+01 -2.17166156e+01 -2.18154672e+01 -2.18157117e+01 -2.18157119e+01 -2.18157119e+01 
 1.24133504e+04 -2.19058734e+01 -2.18467866e+01 -2.19486920e+01 -2.19489524e+01 -2.19489527e+01 -2.19489527e+01 
 1.26135495e+04 -2.20439576e+01 -2.19745856e+01 -2.20795794e+01 -2.20798565e+01 -2.20798568e+01 -2.20798568e+01 
 1.28137487e+04 -2.21798942e+01 -2.21000820e+01 -2.22081979e+01 -2.22084924e+01 -2.22084928e+01 -2.22084928e+01 
