 frequency       HctmagdB        HscmagdB       
 1.00000000e+01 -4.34272769e-04 -4.61557466e-04 
 1.00925289e+01 -4.42346091e-04 -4.70137996e-04 
 1.01859139e+01 -4.50569492e-04 -4.78878031e-04 
 1.02801630e+01 -4.58945762e-04 -4.87780538e-04 
 1.03752842e+01 -4.67477742e-04 -4.96848537e-04 
 1.04712855e+01 -4.76168325e-04 -5.06085102e-04 
 1.05681751e+01 -4.85020461e-04 -5.15493368e-04 
 1.06659612e+01 -4.94037152e-04 -5.25076525e-04 
 1.07646521e+01 -5.03221456e-04 -5.34837825e-04 
 1.08642562e+01 -5.12576489e-04 -5.44780579e-04 
 1.09647820e+01 -5.22105425e-04 -5.54908159e-04 
 1.10662378e+01 -5.31811495e-04 -5.65224000e-04 
 1.11686325e+01 -5.41697992e-04 -5.75731602e-04 
 1.12719746e+01 -5.51768270e-04 -5.86434528e-04 
 1.13762729e+01 -5.62025745e-04 -5.97336410e-04 
 1.14815362e+01 -5.72473895e-04 -6.08440944e-04 
 1.15877736e+01 -5.83116265e-04 -6.19751899e-04 
 1.16949939e+01 -5.93956464e-04 -6.31273109e-04 
 1.18032064e+01 -6.04998170e-04 -6.43008483e-04 
 1.19124201e+01 -6.16245128e-04 -6.54962001e-04 
 1.20226443e+01 -6.27701152e-04 -6.67137718e-04 
 1.21338885e+01 -6.39370129e-04 -6.79539763e-04 
 1.22461620e+01 -6.51256016e-04 -6.92172343e-04 
 1.23594743e+01 -6.63362845e-04 -7.05039743e-04 
 1.24738351e+01 -6.75694721e-04 -7.18146326e-04 
 1.25892541e+01 -6.88255829e-04 -7.31496538e-04 
 1.27057411e+01 -7.01050427e-04 -7.45094907e-04 
 1.28233058e+01 -7.14082856e-04 -7.58946044e-04 
 1.29419584e+01 -7.27357536e-04 -7.73054648e-04 
 1.30617089e+01 -7.40878969e-04 -7.87425503e-04 
 1.31825674e+01 -7.54651741e-04 -8.02063484e-04 
 1.33045442e+01 -7.68680523e-04 -8.16973554e-04 
 1.34276496e+01 -7.82970072e-04 -8.32160771e-04 
 1.35518941e+01 -7.97525236e-04 -8.47630284e-04 
 1.36772883e+01 -8.12350951e-04 -8.63387340e-04 
 1.38038426e+01 -8.27452244e-04 -8.79437283e-04 
 1.39315680e+01 -8.42834237e-04 -8.95785556e-04 
 1.40604752e+01 -8.58502147e-04 -9.12437702e-04 
 1.41905752e+01 -8.74461287e-04 -9.29399369e-04 
 1.43218790e+01 -8.90717069e-04 -9.46676310e-04 
 1.44543977e+01 -9.07275006e-04 -9.64274381e-04 
 1.45881426e+01 -9.24140713e-04 -9.82199552e-04 
 1.47231250e+01 -9.41319910e-04 -1.00045790e-03 
 1.48593564e+01 -9.58818422e-04 -1.01905562e-03 
 1.49968484e+01 -9.76642183e-04 -1.03799901e-03 
 1.51356125e+01 -9.94797237e-04 -1.05729450e-03 
 1.52756606e+01 -1.01328974e-03 -1.07694864e-03 
 1.54170045e+01 -1.03212597e-03 -1.09696808e-03 
 1.55596563e+01 -1.05131230e-03 -1.11735961e-03 
 1.57036280e+01 -1.07085524e-03 -1.13813015e-03 
